REF_DATE,GEO,New housing price indexes,VALUE,STATUS
1981-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,30.5,NA
1981-02,"Kitchener-Cambridge-Waterloo, Ontario",Land only,43.5,NA
1981-02,"London, Ontario",Total (house and land),32.3,NA
1981-02,"London, Ontario",House only,27.5,NA
1981-02,"London, Ontario",Land only,51.4,NA
1981-02,"Windsor, Ontario",Total (house and land),61.2,NA
1981-02,"Windsor, Ontario",House only,64.9,NA
1981-02,"Windsor, Ontario",Land only,47.5,NA
1981-02,"Greater Sudbury, Ontario",Total (house and land),55.4,NA
1981-02,"Greater Sudbury, Ontario",House only,55.6,NA
1981-02,"Greater Sudbury, Ontario",Land only,52.1,NA
1981-02,"Winnipeg, Manitoba",Total (house and land),26.9,NA
1981-02,"Winnipeg, Manitoba",House only,29.7,NA
1981-02,"Winnipeg, Manitoba",Land only,18.7,NA
1981-02,"Regina, Saskatchewan",Total (house and land),20.2,NA
1981-02,"Regina, Saskatchewan",House only,21.2,NA
1981-02,"Regina, Saskatchewan",Land only,17.1,NA
1981-02,"Saskatoon, Saskatchewan",Total (house and land),33,NA
1981-02,"Saskatoon, Saskatchewan",House only,35.8,NA
1981-02,"Saskatoon, Saskatchewan",Land only,26,NA
1981-02,"Calgary, Alberta",Total (house and land),25.5,NA
1981-02,"Calgary, Alberta",House only,28.1,NA
1981-02,"Calgary, Alberta",Land only,19.6,NA
1981-02,"Edmonton, Alberta",Total (house and land),36.1,NA
1981-02,"Edmonton, Alberta",House only,36.8,NA
1981-02,"Edmonton, Alberta",Land only,32.9,NA
1981-02,"Vancouver, British Columbia",Total (house and land),92.2,NA
1981-02,"Vancouver, British Columbia",House only,97.5,NA
1981-02,"Vancouver, British Columbia",Land only,85.3,NA
1981-02,"Victoria, British Columbia",Total (house and land),130.1,NA
1981-02,"Victoria, British Columbia",House only,209.1,NA
1981-02,"Victoria, British Columbia",Land only,50.9,NA
1981-03,Canada,Total (house and land),39.3,NA
1981-03,Canada,House only,37.3,NA
1981-03,Canada,Land only,41.1,NA
1981-03,"St. John's, Newfoundland and Labrador",Total (house and land),36.2,NA
1981-03,"St. John's, Newfoundland and Labrador",House only,37.5,NA
1981-03,"St. John's, Newfoundland and Labrador",Land only,31.8,NA
1981-03,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),56.2,NA
1981-03,"Saint John, Fredericton, and Moncton, New Brunswick",House only,62.1,NA
1981-03,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,38,NA
1981-03,"Québec, Quebec",Total (house and land),30.6,NA
1981-03,"Québec, Quebec",House only,35.4,NA
1981-03,"Québec, Quebec",Land only,20.6,NA
1981-03,"Montréal, Quebec",Total (house and land),29,NA
1981-03,"Montréal, Quebec",House only,30.5,NA
1981-03,"Montréal, Quebec",Land only,21,NA
1981-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),33.6,NA
1981-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,31.9,NA
1981-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,40.6,NA
1981-03,"Toronto, Ontario",Total (house and land),29.8,NA
1981-03,"Toronto, Ontario",House only,24.8,NA
1981-03,"Toronto, Ontario",Land only,39.5,NA
1981-03,"Hamilton, Ontario",Total (house and land),30.7,NA
1981-03,"Hamilton, Ontario",House only,25.3,NA
1981-03,"Hamilton, Ontario",Land only,46,NA
1981-03,"St. Catharines-Niagara, Ontario",Total (house and land),30.8,NA
1981-03,"St. Catharines-Niagara, Ontario",House only,28.6,NA
1981-03,"St. Catharines-Niagara, Ontario",Land only,35.6,NA
1981-03,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.2,NA
1981-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,30.7,NA
1981-03,"Kitchener-Cambridge-Waterloo, Ontario",Land only,43.5,NA
1981-03,"London, Ontario",Total (house and land),32.8,NA
1981-03,"London, Ontario",House only,28.2,NA
1981-03,"London, Ontario",Land only,51.4,NA
1981-03,"Windsor, Ontario",Total (house and land),60.7,NA
1981-03,"Windsor, Ontario",House only,64.1,NA
1981-03,"Windsor, Ontario",Land only,47.5,NA
1981-03,"Greater Sudbury, Ontario",Total (house and land),55.4,NA
1981-03,"Greater Sudbury, Ontario",House only,55.6,NA
1981-03,"Greater Sudbury, Ontario",Land only,52.1,NA
1981-03,"Winnipeg, Manitoba",Total (house and land),27.3,NA
1981-03,"Winnipeg, Manitoba",House only,30.3,NA
1981-03,"Winnipeg, Manitoba",Land only,18.7,NA
1981-03,"Regina, Saskatchewan",Total (house and land),20.6,NA
1981-03,"Regina, Saskatchewan",House only,21.5,NA
1981-03,"Regina, Saskatchewan",Land only,17.5,NA
1981-03,"Saskatoon, Saskatchewan",Total (house and land),33.4,NA
1981-03,"Saskatoon, Saskatchewan",House only,36.4,NA
1981-03,"Saskatoon, Saskatchewan",Land only,26,NA
1981-03,"Calgary, Alberta",Total (house and land),25.8,NA
1981-03,"Calgary, Alberta",House only,28.6,NA
1981-03,"Calgary, Alberta",Land only,19.6,NA
1981-03,"Edmonton, Alberta",Total (house and land),36.1,NA
1981-03,"Edmonton, Alberta",House only,36.8,NA
1981-03,"Edmonton, Alberta",Land only,32.9,NA
1981-03,"Vancouver, British Columbia",Total (house and land),92.2,NA
1981-03,"Vancouver, British Columbia",House only,97.5,NA
1981-03,"Vancouver, British Columbia",Land only,85.3,NA
1981-03,"Victoria, British Columbia",Total (house and land),130.8,NA
1981-03,"Victoria, British Columbia",House only,210.6,NA
1981-03,"Victoria, British Columbia",Land only,50.9,NA
1981-04,Canada,Total (house and land),39.9,NA
1981-04,Canada,House only,38.1,NA
1981-04,Canada,Land only,41.2,NA
1981-04,"St. John's, Newfoundland and Labrador",Total (house and land),36.2,NA
1981-04,"St. John's, Newfoundland and Labrador",House only,37.5,NA
1981-04,"St. John's, Newfoundland and Labrador",Land only,31.8,NA
1981-04,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),56.2,NA
1981-04,"Saint John, Fredericton, and Moncton, New Brunswick",House only,62.1,NA
1981-04,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,38,NA
1981-04,"Québec, Quebec",Total (house and land),31,NA
1981-04,"Québec, Quebec",House only,35.7,NA
1981-04,"Québec, Quebec",Land only,20.9,NA
1981-04,"Montréal, Quebec",Total (house and land),29.3,NA
1981-04,"Montréal, Quebec",House only,30.8,NA
1981-04,"Montréal, Quebec",Land only,21,NA
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),33.7,NA
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,32,NA
1981-04,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,40.6,NA
1981-04,"Toronto, Ontario",Total (house and land),31.2,NA
1981-04,"Toronto, Ontario",House only,26.5,NA
1981-04,"Toronto, Ontario",Land only,40,NA
1981-04,"Hamilton, Ontario",Total (house and land),31,NA
1981-04,"Hamilton, Ontario",House only,25.6,NA
1981-04,"Hamilton, Ontario",Land only,46.3,NA
1981-04,"St. Catharines-Niagara, Ontario",Total (house and land),30.8,NA
1981-04,"St. Catharines-Niagara, Ontario",House only,28.6,NA
1981-04,"St. Catharines-Niagara, Ontario",Land only,35.6,NA
1981-04,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.6,NA
1981-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,31.1,NA
1981-04,"Kitchener-Cambridge-Waterloo, Ontario",Land only,43.5,NA
1981-04,"London, Ontario",Total (house and land),33.3,NA
1981-04,"London, Ontario",House only,28.6,NA
1981-04,"London, Ontario",Land only,51.6,NA
1981-04,"Windsor, Ontario",Total (house and land),60.6,NA
1981-04,"Windsor, Ontario",House only,63.9,NA
1981-04,"Windsor, Ontario",Land only,47.5,NA
1981-04,"Greater Sudbury, Ontario",Total (house and land),56.9,NA
1981-04,"Greater Sudbury, Ontario",House only,57,NA
1981-04,"Greater Sudbury, Ontario",Land only,53.7,NA
1981-04,"Winnipeg, Manitoba",Total (house and land),27.4,NA
1981-04,"Winnipeg, Manitoba",House only,30.5,NA
1981-04,"Winnipeg, Manitoba",Land only,18.9,NA
1981-04,"Regina, Saskatchewan",Total (house and land),21.3,NA
1981-04,"Regina, Saskatchewan",House only,22.4,NA
1981-04,"Regina, Saskatchewan",Land only,17.8,NA
1981-04,"Saskatoon, Saskatchewan",Total (house and land),34.6,NA
1981-04,"Saskatoon, Saskatchewan",House only,37.3,NA
1981-04,"Saskatoon, Saskatchewan",Land only,27.6,NA
1981-04,"Calgary, Alberta",Total (house and land),26.7,NA
1981-04,"Calgary, Alberta",House only,30.1,NA
1981-04,"Calgary, Alberta",Land only,19.8,NA
1981-04,"Edmonton, Alberta",Total (house and land),36.1,NA
1981-04,"Edmonton, Alberta",House only,36.9,NA
1981-04,"Edmonton, Alberta",Land only,32.9,NA
1981-04,"Vancouver, British Columbia",Total (house and land),91.8,NA
1981-04,"Vancouver, British Columbia",House only,97.7,NA
1981-04,"Vancouver, British Columbia",Land only,84.2,NA
1981-04,"Victoria, British Columbia",Total (house and land),130.8,NA
1981-04,"Victoria, British Columbia",House only,210.6,NA
1981-04,"Victoria, British Columbia",Land only,50.9,NA
1981-05,Canada,Total (house and land),40.6,NA
1981-05,Canada,House only,38.9,NA
1981-05,Canada,Land only,41.5,NA
1981-05,"St. John's, Newfoundland and Labrador",Total (house and land),36.4,NA
1981-05,"St. John's, Newfoundland and Labrador",House only,37.7,NA
1981-05,"St. John's, Newfoundland and Labrador",Land only,31.9,NA
1981-05,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),57.2,NA
1981-05,"Saint John, Fredericton, and Moncton, New Brunswick",House only,63.3,NA
1981-05,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,38,NA
1981-05,"Québec, Quebec",Total (house and land),31.4,NA
1981-05,"Québec, Quebec",House only,36.1,NA
1981-05,"Québec, Quebec",Land only,21.2,NA
1981-05,"Montréal, Quebec",Total (house and land),29.7,NA
1981-05,"Montréal, Quebec",House only,31.1,NA
1981-05,"Montréal, Quebec",Land only,21.3,NA
1981-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),34.3,NA
1981-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,32.7,NA
1981-05,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,40.8,NA
1981-05,"Toronto, Ontario",Total (house and land),32.3,NA
1981-05,"Toronto, Ontario",House only,27.7,NA
1981-05,"Toronto, Ontario",Land only,40.1,NA
1981-05,"Hamilton, Ontario",Total (house and land),32.6,NA
1981-05,"Hamilton, Ontario",House only,26.4,NA
1981-05,"Hamilton, Ontario",Land only,50.2,NA
1981-05,"St. Catharines-Niagara, Ontario",Total (house and land),31,NA
1981-05,"St. Catharines-Niagara, Ontario",House only,28.9,NA
1981-05,"St. Catharines-Niagara, Ontario",Land only,35.6,NA
1981-05,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.6,NA
1981-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,31.1,NA
1981-05,"Kitchener-Cambridge-Waterloo, Ontario",Land only,43.5,NA
1981-05,"London, Ontario",Total (house and land),33.3,NA
1981-05,"London, Ontario",House only,28.6,NA
1981-05,"London, Ontario",Land only,51.6,NA
1981-05,"Windsor, Ontario",Total (house and land),60.6,NA
1981-05,"Windsor, Ontario",House only,63.9,NA
1981-05,"Windsor, Ontario",Land only,47.5,NA
1981-05,"Greater Sudbury, Ontario",Total (house and land),56.9,NA
1981-05,"Greater Sudbury, Ontario",House only,57,NA
1981-05,"Greater Sudbury, Ontario",Land only,53.7,NA
1981-05,"Winnipeg, Manitoba",Total (house and land),27.9,NA
1981-05,"Winnipeg, Manitoba",House only,31.1,NA
1981-05,"Winnipeg, Manitoba",Land only,18.9,NA
1981-05,"Regina, Saskatchewan",Total (house and land),21.9,NA
1981-05,"Regina, Saskatchewan",House only,23.1,NA
1981-05,"Regina, Saskatchewan",Land only,17.8,NA
1981-05,"Saskatoon, Saskatchewan",Total (house and land),34.8,NA
1981-05,"Saskatoon, Saskatchewan",House only,37.7,NA
1981-05,"Saskatoon, Saskatchewan",Land only,27.6,NA
1981-05,"Calgary, Alberta",Total (house and land),26.7,NA
1981-05,"Calgary, Alberta",House only,30.1,NA
1981-05,"Calgary, Alberta",Land only,19.8,NA
1981-05,"Edmonton, Alberta",Total (house and land),37.3,NA
1981-05,"Edmonton, Alberta",House only,38.2,NA
1981-05,"Edmonton, Alberta",Land only,33.6,NA
1981-05,"Vancouver, British Columbia",Total (house and land),91.8,NA
1981-05,"Vancouver, British Columbia",House only,97.7,NA
1981-05,"Vancouver, British Columbia",Land only,84.2,NA
1981-05,"Victoria, British Columbia",Total (house and land),132.5,NA
1981-05,"Victoria, British Columbia",House only,212.4,NA
1981-05,"Victoria, British Columbia",Land only,52.1,NA
1981-06,Canada,Total (house and land),40.8,NA
1981-06,Canada,House only,39.1,NA
1981-06,Canada,Land only,41.6,NA
1981-06,"St. John's, Newfoundland and Labrador",Total (house and land),36.4,NA
1981-06,"St. John's, Newfoundland and Labrador",House only,37.7,NA
1981-06,"St. John's, Newfoundland and Labrador",Land only,31.9,NA
1981-06,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),57.2,NA
1981-06,"Saint John, Fredericton, and Moncton, New Brunswick",House only,63.3,NA
1981-06,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,38,NA
1981-06,"Québec, Quebec",Total (house and land),31.4,NA
1981-06,"Québec, Quebec",House only,36.1,NA
1981-06,"Québec, Quebec",Land only,21.2,NA
1981-06,"Montréal, Quebec",Total (house and land),30,NA
1981-06,"Montréal, Quebec",House only,31.5,NA
1981-06,"Montréal, Quebec",Land only,21.7,NA
1981-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),34.8,NA
1981-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,33.5,NA
1981-06,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,40.8,NA
1981-06,"Toronto, Ontario",Total (house and land),32.3,NA
1981-06,"Toronto, Ontario",House only,27.7,NA
1981-06,"Toronto, Ontario",Land only,40.1,NA
1981-06,"Hamilton, Ontario",Total (house and land),32.7,NA
1981-06,"Hamilton, Ontario",House only,26.6,NA
1981-06,"Hamilton, Ontario",Land only,50.2,NA
1981-06,"St. Catharines-Niagara, Ontario",Total (house and land),31.2,NA
1981-06,"St. Catharines-Niagara, Ontario",House only,29.2,NA
1981-06,"St. Catharines-Niagara, Ontario",Land only,35.6,NA
1981-06,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.9,NA
1981-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,31.4,NA
1981-06,"Kitchener-Cambridge-Waterloo, Ontario",Land only,43.7,NA
1981-06,"London, Ontario",Total (house and land),33.6,NA
1981-06,"London, Ontario",House only,29.1,NA
1981-06,"London, Ontario",Land only,51.6,NA
1981-06,"Windsor, Ontario",Total (house and land),60.6,NA
1981-06,"Windsor, Ontario",House only,63.9,NA
1981-06,"Windsor, Ontario",Land only,47.5,NA
1981-06,"Greater Sudbury, Ontario",Total (house and land),57.1,NA
1981-06,"Greater Sudbury, Ontario",House only,57.2,NA
1981-06,"Greater Sudbury, Ontario",Land only,53.7,NA
1981-06,"Winnipeg, Manitoba",Total (house and land),28.4,NA
1981-06,"Winnipeg, Manitoba",House only,31.8,NA
1981-06,"Winnipeg, Manitoba",Land only,19,NA
1981-06,"Regina, Saskatchewan",Total (house and land),21.9,NA
1981-06,"Regina, Saskatchewan",House only,23.1,NA
1981-06,"Regina, Saskatchewan",Land only,17.8,NA
1981-06,"Saskatoon, Saskatchewan",Total (house and land),35,NA
1981-06,"Saskatoon, Saskatchewan",House only,38,NA
1981-06,"Saskatoon, Saskatchewan",Land only,27.6,NA
1981-06,"Calgary, Alberta",Total (house and land),27.1,NA
1981-06,"Calgary, Alberta",House only,30.6,NA
1981-06,"Calgary, Alberta",Land only,20,NA
1981-06,"Edmonton, Alberta",Total (house and land),37.4,NA
1981-06,"Edmonton, Alberta",House only,38.4,NA
1981-06,"Edmonton, Alberta",Land only,33.6,NA
1981-06,"Vancouver, British Columbia",Total (house and land),91.9,NA
1981-06,"Vancouver, British Columbia",House only,98.2,NA
1981-06,"Vancouver, British Columbia",Land only,84.2,NA
1981-06,"Victoria, British Columbia",Total (house and land),132.8,NA
1981-06,"Victoria, British Columbia",House only,210.6,NA
1981-06,"Victoria, British Columbia",Land only,52.9,NA
1981-07,Canada,Total (house and land),40.8,NA
1981-07,Canada,House only,39.2,NA
1981-07,Canada,Land only,41.6,NA
1981-07,"St. John's, Newfoundland and Labrador",Total (house and land),36.4,NA
1981-07,"St. John's, Newfoundland and Labrador",House only,37.7,NA
1981-07,"St. John's, Newfoundland and Labrador",Land only,31.9,NA
1981-07,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),57.4,NA
1981-07,"Saint John, Fredericton, and Moncton, New Brunswick",House only,63.6,NA
1981-07,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,38,NA
1981-07,"Québec, Quebec",Total (house and land),31.4,NA
1981-07,"Québec, Quebec",House only,36.2,NA
1981-07,"Québec, Quebec",Land only,21.2,NA
1981-07,"Montréal, Quebec",Total (house and land),30.2,NA
1981-07,"Montréal, Quebec",House only,31.7,NA
1981-07,"Montréal, Quebec",Land only,21.7,NA
1981-07,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),34.9,NA
1981-07,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,33.5,NA
1981-07,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,40.8,NA
1981-07,"Toronto, Ontario",Total (house and land),32.2,NA
1981-07,"Toronto, Ontario",House only,27.7,NA
1981-07,"Toronto, Ontario",Land only,40.1,NA
1981-07,"Hamilton, Ontario",Total (house and land),32.7,NA
1981-07,"Hamilton, Ontario",House only,26.6,NA
1981-07,"Hamilton, Ontario",Land only,50.2,NA
1981-07,"St. Catharines-Niagara, Ontario",Total (house and land),31.2,NA
1981-07,"St. Catharines-Niagara, Ontario",House only,29.2,NA
1981-07,"St. Catharines-Niagara, Ontario",Land only,35.6,NA
1981-07,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.9,NA
1981-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,31.4,NA
1981-07,"Kitchener-Cambridge-Waterloo, Ontario",Land only,43.7,NA
1981-07,"London, Ontario",Total (house and land),34.1,NA
1981-07,"London, Ontario",House only,29.7,NA
1981-07,"London, Ontario",Land only,51.6,NA
1981-07,"Windsor, Ontario",Total (house and land),60.6,NA
1981-07,"Windsor, Ontario",House only,63.9,NA
1981-07,"Windsor, Ontario",Land only,47.5,NA
1981-07,"Greater Sudbury, Ontario",Total (house and land),57.1,NA
1981-07,"Greater Sudbury, Ontario",House only,57.2,NA
1981-07,"Greater Sudbury, Ontario",Land only,53.7,NA
1981-07,"Winnipeg, Manitoba",Total (house and land),28.5,NA
1981-07,"Winnipeg, Manitoba",House only,32,NA
1981-07,"Winnipeg, Manitoba",Land only,19,NA
1981-07,"Regina, Saskatchewan",Total (house and land),21.9,NA
1981-07,"Regina, Saskatchewan",House only,23.1,NA
1981-07,"Regina, Saskatchewan",Land only,17.8,NA
1981-07,"Saskatoon, Saskatchewan",Total (house and land),35.9,NA
1981-07,"Saskatoon, Saskatchewan",House only,39.2,NA
1981-07,"Saskatoon, Saskatchewan",Land only,27.8,NA
1981-07,"Calgary, Alberta",Total (house and land),27.1,NA
1981-07,"Calgary, Alberta",House only,30.6,NA
1981-07,"Calgary, Alberta",Land only,20,NA
1981-07,"Edmonton, Alberta",Total (house and land),37.4,NA
1981-07,"Edmonton, Alberta",House only,38.4,NA
1981-07,"Edmonton, Alberta",Land only,33.6,NA
1981-07,"Vancouver, British Columbia",Total (house and land),91.8,NA
1981-07,"Vancouver, British Columbia",House only,97.7,NA
1981-07,"Vancouver, British Columbia",Land only,84.2,NA
1981-07,"Victoria, British Columbia",Total (house and land),130.8,NA
1981-07,"Victoria, British Columbia",House only,206.2,NA
1981-07,"Victoria, British Columbia",Land only,52.5,NA
1981-08,Canada,Total (house and land),40.6,NA
1981-08,Canada,House only,39,NA
1981-08,Canada,Land only,41.5,NA
1981-08,"St. John's, Newfoundland and Labrador",Total (house and land),36.4,NA
1981-08,"St. John's, Newfoundland and Labrador",House only,37.8,NA
1981-08,"St. John's, Newfoundland and Labrador",Land only,31.9,NA
1981-08,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),58.3,NA
1981-08,"Saint John, Fredericton, and Moncton, New Brunswick",House only,64.6,NA
1981-08,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,39,NA
1981-08,"Québec, Quebec",Total (house and land),31.6,NA
1981-08,"Québec, Quebec",House only,36.6,NA
1981-08,"Québec, Quebec",Land only,21.3,NA
1981-08,"Montréal, Quebec",Total (house and land),30.3,NA
1981-08,"Montréal, Quebec",House only,31.7,NA
1981-08,"Montréal, Quebec",Land only,21.7,NA
1981-08,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),35.2,NA
1981-08,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,33.9,NA
1981-08,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,40.8,NA
1981-08,"Toronto, Ontario",Total (house and land),32.5,NA
1981-08,"Toronto, Ontario",House only,28,NA
