REF_DATE,GEO,New housing price indexes,VALUE,STATUS
1987-08,"Regina, Saskatchewan",House only,25.1,NA
1987-08,"Regina, Saskatchewan",Land only,25.9,NA
1987-08,"Saskatoon, Saskatchewan",Total (house and land),38.6,NA
1987-08,"Saskatoon, Saskatchewan",House only,39.6,NA
1987-08,"Saskatoon, Saskatchewan",Land only,36.2,NA
1987-08,Alberta,Total (house and land),28.3,NA
1987-08,Alberta,House only,30,NA
1987-08,Alberta,Land only,23.9,NA
1987-08,"Calgary, Alberta",Total (house and land),25.4,NA
1987-08,"Calgary, Alberta",House only,26.6,NA
1987-08,"Calgary, Alberta",Land only,22.1,NA
1987-08,"Edmonton, Alberta",Total (house and land),33.3,NA
1987-08,"Edmonton, Alberta",House only,36,NA
1987-08,"Edmonton, Alberta",Land only,27,NA
1987-08,British Columbia,Total (house and land),69.6,NA
1987-08,British Columbia,House only,83.9,NA
1987-08,British Columbia,Land only,51.1,NA
1987-08,"Vancouver, British Columbia",Total (house and land),67.6,NA
1987-08,"Vancouver, British Columbia",House only,78.7,NA
1987-08,"Vancouver, British Columbia",Land only,54.1,NA
1987-08,"Victoria, British Columbia",Total (house and land),90.3,NA
1987-08,"Victoria, British Columbia",House only,149.6,NA
1987-08,"Victoria, British Columbia",Land only,34.8,NA
1987-09,Canada,Total (house and land),48.7,NA
1987-09,Canada,House only,49.2,NA
1987-09,Canada,Land only,45.4,NA
1987-09,Atlantic Region,Total (house and land),54.1,NA
1987-09,Atlantic Region,House only,55.5,NA
1987-09,Atlantic Region,Land only,48.1,NA
1987-09,Newfoundland and Labrador,Total (house and land),41.4,NA
1987-09,Newfoundland and Labrador,House only,42.2,NA
1987-09,Newfoundland and Labrador,Land only,37.8,NA
1987-09,"St. John's, Newfoundland and Labrador",Total (house and land),41.4,NA
1987-09,"St. John's, Newfoundland and Labrador",House only,42.2,NA
1987-09,"St. John's, Newfoundland and Labrador",Land only,37.8,NA
1987-09,Nova Scotia,Total (house and land),53.3,NA
1987-09,Nova Scotia,House only,52.5,NA
1987-09,Nova Scotia,Land only,55.2,NA
1987-09,"Halifax, Nova Scotia",Total (house and land),53.3,NA
1987-09,"Halifax, Nova Scotia",House only,52.5,NA
1987-09,"Halifax, Nova Scotia",Land only,55.2,NA
1987-09,New Brunswick,Total (house and land),76,NA
1987-09,New Brunswick,House only,79,NA
1987-09,New Brunswick,Land only,66.6,NA
1987-09,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76,NA
1987-09,"Saint John, Fredericton, and Moncton, New Brunswick",House only,79,NA
1987-09,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,66.6,NA
1987-09,Quebec,Total (house and land),47,NA
1987-09,Quebec,House only,48.8,NA
1987-09,Quebec,Land only,41.6,NA
1987-09,"Québec, Quebec",Total (house and land),46.1,NA
1987-09,"Québec, Quebec",House only,52.7,NA
1987-09,"Québec, Quebec",Land only,32.1,NA
1987-09,"Montréal, Quebec",Total (house and land),47.2,NA
1987-09,"Montréal, Quebec",House only,48,NA
1987-09,"Montréal, Quebec",Land only,44.9,NA
1987-09,Ontario,Total (house and land),49,NA
1987-09,Ontario,House only,45.9,NA
1987-09,Ontario,Land only,54.6,NA
1987-09,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),48.2,NA
1987-09,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,45.9,NA
1987-09,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,60.8,NA
1987-09,"Toronto, Ontario",Total (house and land),47.7,NA
1987-09,"Toronto, Ontario",House only,44.4,NA
1987-09,"Toronto, Ontario",Land only,51.3,NA
1987-09,"Hamilton, Ontario",Total (house and land),53.3,NA
1987-09,"Hamilton, Ontario",House only,46.1,NA
1987-09,"Hamilton, Ontario",Land only,70.1,NA
1987-09,"St. Catharines-Niagara, Ontario",Total (house and land),49.7,NA
1987-09,"St. Catharines-Niagara, Ontario",House only,45.2,NA
1987-09,"St. Catharines-Niagara, Ontario",Land only,62.4,NA
1987-09,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),58.2,NA
1987-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,53.5,NA
1987-09,"Kitchener-Cambridge-Waterloo, Ontario",Land only,69,NA
1987-09,"London, Ontario",Total (house and land),50.6,NA
1987-09,"London, Ontario",House only,45.8,NA
1987-09,"London, Ontario",Land only,66.8,NA
1987-09,"Windsor, Ontario",Total (house and land),73.7,NA
1987-09,"Windsor, Ontario",House only,77.9,NA
1987-09,"Windsor, Ontario",Land only,60.9,NA
1987-09,"Greater Sudbury, Ontario",Total (house and land),70.1,NA
1987-09,"Greater Sudbury, Ontario",House only,72.7,NA
1987-09,"Greater Sudbury, Ontario",Land only,61.2,NA
1987-09,Prairie Region,Total (house and land),31.2,NA
1987-09,Prairie Region,House only,32.7,NA
1987-09,Prairie Region,Land only,27.1,NA
1987-09,Manitoba,Total (house and land),38.3,NA
1987-09,Manitoba,House only,40.7,NA
1987-09,Manitoba,Land only,31.8,NA
1987-09,"Winnipeg, Manitoba",Total (house and land),38.3,NA
1987-09,"Winnipeg, Manitoba",House only,40.7,NA
1987-09,"Winnipeg, Manitoba",Land only,31.8,NA
1987-09,Saskatchewan,Total (house and land),32,NA
1987-09,Saskatchewan,House only,32,NA
1987-09,Saskatchewan,Land only,31.8,NA
1987-09,"Regina, Saskatchewan",Total (house and land),25.4,NA
1987-09,"Regina, Saskatchewan",House only,25.1,NA
1987-09,"Regina, Saskatchewan",Land only,25.9,NA
1987-09,"Saskatoon, Saskatchewan",Total (house and land),38.9,NA
1987-09,"Saskatoon, Saskatchewan",House only,39.8,NA
1987-09,"Saskatoon, Saskatchewan",Land only,36.6,NA
1987-09,Alberta,Total (house and land),28.4,NA
1987-09,Alberta,House only,30.2,NA
1987-09,Alberta,Land only,24,NA
1987-09,"Calgary, Alberta",Total (house and land),25.5,NA
1987-09,"Calgary, Alberta",House only,26.7,NA
1987-09,"Calgary, Alberta",Land only,22.1,NA
1987-09,"Edmonton, Alberta",Total (house and land),33.5,NA
1987-09,"Edmonton, Alberta",House only,36.2,NA
1987-09,"Edmonton, Alberta",Land only,27.2,NA
1987-09,British Columbia,Total (house and land),70.5,NA
1987-09,British Columbia,House only,84.8,NA
1987-09,British Columbia,Land only,52.1,NA
1987-09,"Vancouver, British Columbia",Total (house and land),68.6,NA
1987-09,"Vancouver, British Columbia",House only,79.8,NA
1987-09,"Vancouver, British Columbia",Land only,55.2,NA
1987-09,"Victoria, British Columbia",Total (house and land),90.3,NA
1987-09,"Victoria, British Columbia",House only,149.3,NA
1987-09,"Victoria, British Columbia",Land only,34.9,NA
1987-10,Canada,Total (house and land),48.9,NA
1987-10,Canada,House only,49.3,NA
1987-10,Canada,Land only,45.6,NA
1987-10,Atlantic Region,Total (house and land),54.2,NA
1987-10,Atlantic Region,House only,55.6,NA
1987-10,Atlantic Region,Land only,48.1,NA
1987-10,Newfoundland and Labrador,Total (house and land),41.5,NA
1987-10,Newfoundland and Labrador,House only,42.2,NA
1987-10,Newfoundland and Labrador,Land only,38.1,NA
1987-10,"St. John's, Newfoundland and Labrador",Total (house and land),41.5,NA
1987-10,"St. John's, Newfoundland and Labrador",House only,42.2,NA
1987-10,"St. John's, Newfoundland and Labrador",Land only,38.1,NA
1987-10,Nova Scotia,Total (house and land),53.3,NA
1987-10,Nova Scotia,House only,52.5,NA
1987-10,Nova Scotia,Land only,55.2,NA
1987-10,"Halifax, Nova Scotia",Total (house and land),53.3,NA
1987-10,"Halifax, Nova Scotia",House only,52.5,NA
1987-10,"Halifax, Nova Scotia",Land only,55.2,NA
1987-10,New Brunswick,Total (house and land),76,NA
1987-10,New Brunswick,House only,79,NA
1987-10,New Brunswick,Land only,66.6,NA
1987-10,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76,NA
1987-10,"Saint John, Fredericton, and Moncton, New Brunswick",House only,79,NA
1987-10,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,66.6,NA
1987-10,Quebec,Total (house and land),47.4,NA
1987-10,Quebec,House only,49,NA
1987-10,Quebec,Land only,42.1,NA
1987-10,"Québec, Quebec",Total (house and land),46.7,NA
1987-10,"Québec, Quebec",House only,53.5,NA
1987-10,"Québec, Quebec",Land only,32.2,NA
1987-10,"Montréal, Quebec",Total (house and land),47.5,NA
1987-10,"Montréal, Quebec",House only,48.1,NA
1987-10,"Montréal, Quebec",Land only,45.5,NA
1987-10,Ontario,Total (house and land),49.2,NA
1987-10,Ontario,House only,46,NA
1987-10,Ontario,Land only,55,NA
1987-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),48.4,NA
1987-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,46.2,NA
1987-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,61,NA
1987-10,"Toronto, Ontario",Total (house and land),48,NA
1987-10,"Toronto, Ontario",House only,44.6,NA
1987-10,"Toronto, Ontario",Land only,51.7,NA
1987-10,"Hamilton, Ontario",Total (house and land),53.3,NA
1987-10,"Hamilton, Ontario",House only,46.1,NA
1987-10,"Hamilton, Ontario",Land only,70.1,NA
1987-10,"St. Catharines-Niagara, Ontario",Total (house and land),49.7,NA
1987-10,"St. Catharines-Niagara, Ontario",House only,45.2,NA
1987-10,"St. Catharines-Niagara, Ontario",Land only,62.4,NA
1987-10,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),58.2,NA
1987-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,53.5,NA
1987-10,"Kitchener-Cambridge-Waterloo, Ontario",Land only,69.2,NA
1987-10,"London, Ontario",Total (house and land),50.6,NA
1987-10,"London, Ontario",House only,45.8,NA
1987-10,"London, Ontario",Land only,66.8,NA
1987-10,"Windsor, Ontario",Total (house and land),73.5,NA
1987-10,"Windsor, Ontario",House only,77.7,NA
1987-10,"Windsor, Ontario",Land only,60.9,NA
1987-10,"Greater Sudbury, Ontario",Total (house and land),70.1,NA
1987-10,"Greater Sudbury, Ontario",House only,72.7,NA
1987-10,"Greater Sudbury, Ontario",Land only,61.2,NA
1987-10,Prairie Region,Total (house and land),31.4,NA
1987-10,Prairie Region,House only,32.8,NA
1987-10,Prairie Region,Land only,27.4,NA
1987-10,Manitoba,Total (house and land),38.3,NA
1987-10,Manitoba,House only,40.6,NA
1987-10,Manitoba,Land only,31.8,NA
1987-10,"Winnipeg, Manitoba",Total (house and land),38.3,NA
1987-10,"Winnipeg, Manitoba",House only,40.6,NA
1987-10,"Winnipeg, Manitoba",Land only,31.8,NA
1987-10,Saskatchewan,Total (house and land),32,NA
1987-10,Saskatchewan,House only,32,NA
1987-10,Saskatchewan,Land only,31.9,NA
1987-10,"Regina, Saskatchewan",Total (house and land),25.4,NA
1987-10,"Regina, Saskatchewan",House only,25.1,NA
1987-10,"Regina, Saskatchewan",Land only,25.9,NA
1987-10,"Saskatoon, Saskatchewan",Total (house and land),38.9,NA
1987-10,"Saskatoon, Saskatchewan",House only,39.8,NA
1987-10,"Saskatoon, Saskatchewan",Land only,36.8,NA
1987-10,Alberta,Total (house and land),28.7,NA
1987-10,Alberta,House only,30.5,NA
1987-10,Alberta,Land only,24.4,NA
1987-10,"Calgary, Alberta",Total (house and land),25.9,NA
1987-10,"Calgary, Alberta",House only,27.2,NA
1987-10,"Calgary, Alberta",Land only,22.8,NA
1987-10,"Edmonton, Alberta",Total (house and land),33.6,NA
1987-10,"Edmonton, Alberta",House only,36.4,NA
1987-10,"Edmonton, Alberta",Land only,27.2,NA
1987-10,British Columbia,Total (house and land),70.6,NA
1987-10,British Columbia,House only,84.8,NA
1987-10,British Columbia,Land only,52.1,NA
1987-10,"Vancouver, British Columbia",Total (house and land),68.6,NA
1987-10,"Vancouver, British Columbia",House only,79.8,NA
1987-10,"Vancouver, British Columbia",Land only,55.2,NA
1987-10,"Victoria, British Columbia",Total (house and land),90.7,NA
1987-10,"Victoria, British Columbia",House only,150.3,NA
1987-10,"Victoria, British Columbia",Land only,34.9,NA
1987-11,Canada,Total (house and land),49.1,NA
1987-11,Canada,House only,49.5,NA
1987-11,Canada,Land only,45.9,NA
1987-11,Atlantic Region,Total (house and land),54.5,NA
1987-11,Atlantic Region,House only,55.7,NA
1987-11,Atlantic Region,Land only,48.6,NA
1987-11,Newfoundland and Labrador,Total (house and land),41.7,NA
1987-11,Newfoundland and Labrador,House only,42.3,NA
1987-11,Newfoundland and Labrador,Land only,38.5,NA
1987-11,"St. John's, Newfoundland and Labrador",Total (house and land),41.7,NA
1987-11,"St. John's, Newfoundland and Labrador",House only,42.3,NA
1987-11,"St. John's, Newfoundland and Labrador",Land only,38.5,NA
1987-11,Nova Scotia,Total (house and land),53.7,NA
1987-11,Nova Scotia,House only,52.7,NA
1987-11,Nova Scotia,Land only,56,NA
1987-11,"Halifax, Nova Scotia",Total (house and land),53.7,NA
1987-11,"Halifax, Nova Scotia",House only,52.7,NA
1987-11,"Halifax, Nova Scotia",Land only,56,NA
1987-11,New Brunswick,Total (house and land),76,NA
1987-11,New Brunswick,House only,79,NA
1987-11,New Brunswick,Land only,66.6,NA
1987-11,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76,NA
1987-11,"Saint John, Fredericton, and Moncton, New Brunswick",House only,79,NA
1987-11,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,66.6,NA
1987-11,Quebec,Total (house and land),47.7,NA
1987-11,Quebec,House only,49.4,NA
1987-11,Quebec,Land only,42.2,NA
1987-11,"Québec, Quebec",Total (house and land),46.8,NA
1987-11,"Québec, Quebec",House only,53.7,NA
1987-11,"Québec, Quebec",Land only,32.2,NA
1987-11,"Montréal, Quebec",Total (house and land),47.8,NA
1987-11,"Montréal, Quebec",House only,48.6,NA
1987-11,"Montréal, Quebec",Land only,45.6,NA
1987-11,Ontario,Total (house and land),49.4,NA
1987-11,Ontario,House only,46.1,NA
1987-11,Ontario,Land only,55.4,NA
1987-11,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),48.7,NA
1987-11,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,46.3,NA
1987-11,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,61.8,NA
1987-11,"Toronto, Ontario",Total (house and land),48.1,NA
1987-11,"Toronto, Ontario",House only,44.5,NA
1987-11,"Toronto, Ontario",Land only,52.2,NA
1987-11,"Hamilton, Ontario",Total (house and land),54.2,NA
1987-11,"Hamilton, Ontario",House only,47.1,NA
1987-11,"Hamilton, Ontario",Land only,70.1,NA
1987-11,"St. Catharines-Niagara, Ontario",Total (house and land),50.3,NA
1987-11,"St. Catharines-Niagara, Ontario",House only,45.9,NA
1987-11,"St. Catharines-Niagara, Ontario",Land only,62.4,NA
1987-11,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),58.2,NA
1987-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,53.5,NA
1987-11,"Kitchener-Cambridge-Waterloo, Ontario",Land only,69.2,NA
1987-11,"London, Ontario",Total (house and land),50.7,NA
1987-11,"London, Ontario",House only,46,NA
1987-11,"London, Ontario",Land only,66.8,NA
1987-11,"Windsor, Ontario",Total (house and land),73.5,NA
1987-11,"Windsor, Ontario",House only,77.6,NA
1987-11,"Windsor, Ontario",Land only,60.9,NA
1987-11,"Greater Sudbury, Ontario",Total (house and land),71.3,NA
1987-11,"Greater Sudbury, Ontario",House only,74.4,NA
1987-11,"Greater Sudbury, Ontario",Land only,61.2,NA
1987-11,Prairie Region,Total (house and land),31.4,NA
1987-11,Prairie Region,House only,32.8,NA
1987-11,Prairie Region,Land only,27.6,NA
1987-11,Manitoba,Total (house and land),38.3,NA
1987-11,Manitoba,House only,40.6,NA
1987-11,Manitoba,Land only,31.8,NA
1987-11,"Winnipeg, Manitoba",Total (house and land),38.3,NA
1987-11,"Winnipeg, Manitoba",House only,40.6,NA
1987-11,"Winnipeg, Manitoba",Land only,31.8,NA
1987-11,Saskatchewan,Total (house and land),32.1,NA
1987-11,Saskatchewan,House only,32.1,NA
1987-11,Saskatchewan,Land only,32,NA
1987-11,"Regina, Saskatchewan",Total (house and land),25.5,NA
1987-11,"Regina, Saskatchewan",House only,25.2,NA
1987-11,"Regina, Saskatchewan",Land only,26.2,NA
1987-11,"Saskatoon, Saskatchewan",Total (house and land),38.9,NA
1987-11,"Saskatoon, Saskatchewan",House only,39.8,NA
1987-11,"Saskatoon, Saskatchewan",Land only,36.8,NA
1987-11,Alberta,Total (house and land),28.8,NA
1987-11,Alberta,House only,30.4,NA
1987-11,Alberta,Land only,24.6,NA
1987-11,"Calgary, Alberta",Total (house and land),26,NA
1987-11,"Calgary, Alberta",House only,27.2,NA
1987-11,"Calgary, Alberta",Land only,22.9,NA
1987-11,"Edmonton, Alberta",Total (house and land),33.7,NA
1987-11,"Edmonton, Alberta",House only,36.3,NA
1987-11,"Edmonton, Alberta",Land only,27.6,NA
1987-11,British Columbia,Total (house and land),70.7,NA
1987-11,British Columbia,House only,85,NA
1987-11,British Columbia,Land only,52.1,NA
1987-11,"Vancouver, British Columbia",Total (house and land),68.7,NA
1987-11,"Vancouver, British Columbia",House only,79.8,NA
1987-11,"Vancouver, British Columbia",Land only,55.2,NA
1987-11,"Victoria, British Columbia",Total (house and land),91,NA
1987-11,"Victoria, British Columbia",House only,150.8,NA
1987-11,"Victoria, British Columbia",Land only,34.9,NA
1987-12,Canada,Total (house and land),49.1,NA
1987-12,Canada,House only,49.5,NA
1987-12,Canada,Land only,46.1,NA
1987-12,Atlantic Region,Total (house and land),54.5,NA
1987-12,Atlantic Region,House only,55.7,NA
1987-12,Atlantic Region,Land only,48.6,NA
1987-12,Newfoundland and Labrador,Total (house and land),41.7,NA
1987-12,Newfoundland and Labrador,House only,42.3,NA
1987-12,Newfoundland and Labrador,Land only,38.3,NA
1987-12,"St. John's, Newfoundland and Labrador",Total (house and land),41.7,NA
1987-12,"St. John's, Newfoundland and Labrador",House only,42.3,NA
1987-12,"St. John's, Newfoundland and Labrador",Land only,38.3,NA
1987-12,Nova Scotia,Total (house and land),53.7,NA
1987-12,Nova Scotia,House only,52.7,NA
1987-12,Nova Scotia,Land only,56,NA
1987-12,"Halifax, Nova Scotia",Total (house and land),53.7,NA
1987-12,"Halifax, Nova Scotia",House only,52.7,NA
1987-12,"Halifax, Nova Scotia",Land only,56,NA
1987-12,New Brunswick,Total (house and land),76,NA
1987-12,New Brunswick,House only,79,NA
1987-12,New Brunswick,Land only,66.6,NA
1987-12,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76,NA
1987-12,"Saint John, Fredericton, and Moncton, New Brunswick",House only,79,NA
1987-12,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,66.6,NA
1987-12,Quebec,Total (house and land),47.9,NA
1987-12,Quebec,House only,49.6,NA
1987-12,Quebec,Land only,42.5,NA
1987-12,"Québec, Quebec",Total (house and land),47,NA
1987-12,"Québec, Quebec",House only,53.9,NA
1987-12,"Québec, Quebec",Land only,32.5,NA
1987-12,"Montréal, Quebec",Total (house and land),48.1,NA
1987-12,"Montréal, Quebec",House only,48.8,NA
1987-12,"Montréal, Quebec",Land only,45.9,NA
1987-12,Ontario,Total (house and land),49.6,NA
1987-12,Ontario,House only,46.2,NA
1987-12,Ontario,Land only,55.7,NA
1987-12,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),48.9,NA
1987-12,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,46.4,NA
1987-12,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,62.8,NA
1987-12,"Toronto, Ontario",Total (house and land),48.2,NA
1987-12,"Toronto, Ontario",House only,44.5,NA
1987-12,"Toronto, Ontario",Land only,52.5,NA
1987-12,"Hamilton, Ontario",Total (house and land),54.4,NA
1987-12,"Hamilton, Ontario",House only,47.2,NA
1987-12,"Hamilton, Ontario",Land only,70.6,NA
1987-12,"St. Catharines-Niagara, Ontario",Total (house and land),50.6,NA
1987-12,"St. Catharines-Niagara, Ontario",House only,46.4,NA
1987-12,"St. Catharines-Niagara, Ontario",Land only,62.4,NA
1987-12,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),58.3,NA
1987-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,53.3,NA
1987-12,"Kitchener-Cambridge-Waterloo, Ontario",Land only,70.6,NA
1987-12,"London, Ontario",Total (house and land),50.7,NA
1987-12,"London, Ontario",House only,46,NA
1987-12,"London, Ontario",Land only,66.8,NA
1987-12,"Windsor, Ontario",Total (house and land),73.5,NA
1987-12,"Windsor, Ontario",House only,77.6,NA
1987-12,"Windsor, Ontario",Land only,61.3,NA
1987-12,"Greater Sudbury, Ontario",Total (house and land),71.3,NA
1987-12,"Greater Sudbury, Ontario",House only,74.4,NA
1987-12,"Greater Sudbury, Ontario",Land only,61.2,NA
1987-12,Prairie Region,Total (house and land),31.4,NA
1987-12,Prairie Region,House only,32.8,NA
1987-12,Prairie Region,Land only,27.7,NA
1987-12,Manitoba,Total (house and land),38.3,NA
1987-12,Manitoba,House only,40.6,NA
1987-12,Manitoba,Land only,31.8,NA
1987-12,"Winnipeg, Manitoba",Total (house and land),38.3,NA
1987-12,"Winnipeg, Manitoba",House only,40.6,NA
1987-12,"Winnipeg, Manitoba",Land only,31.8,NA
1987-12,Saskatchewan,Total (house and land),32.2,NA
1987-12,Saskatchewan,House only,32.1,NA
1987-12,Saskatchewan,Land only,32,NA
1987-12,"Regina, Saskatchewan",Total (house and land),25.5,NA
1987-12,"Regina, Saskatchewan",House only,25.2,NA
1987-12,"Regina, Saskatchewan",Land only,26.2,NA
1987-12,"Saskatoon, Saskatchewan",Total (house and land),39,NA
1987-12,"Saskatoon, Saskatchewan",House only,39.9,NA
1987-12,"Saskatoon, Saskatchewan",Land only,36.8,NA
1987-12,Alberta,Total (house and land),28.8,NA
1987-12,Alberta,House only,30.5,NA
1987-12,Alberta,Land only,24.7,NA
1987-12,"Calgary, Alberta",Total (house and land),26,NA
1987-12,"Calgary, Alberta",House only,27.2,NA
1987-12,"Calgary, Alberta",Land only,22.9,NA
1987-12,"Edmonton, Alberta",Total (house and land),33.8,NA
1987-12,"Edmonton, Alberta",House only,36.4,NA
1987-12,"Edmonton, Alberta",Land only,27.8,NA
1987-12,British Columbia,Total (house and land),70.7,NA
1987-12,British Columbia,House only,85,NA
1987-12,British Columbia,Land only,52.1,NA
1987-12,"Vancouver, British Columbia",Total (house and land),68.7,NA
1987-12,"Vancouver, British Columbia",House only,79.8,NA
1987-12,"Vancouver, British Columbia",Land only,55.2,NA
1987-12,"Victoria, British Columbia",Total (house and land),91,NA
1987-12,"Victoria, British Columbia",House only,150.8,NA
1987-12,"Victoria, British Columbia",Land only,34.9,NA
1988-01,Canada,Total (house and land),49.3,NA
1988-01,Canada,House only,49.7,NA
1988-01,Canada,Land only,46.4,NA
1988-01,Atlantic Region,Total (house and land),54.5,NA
1988-01,Atlantic Region,House only,55.7,NA
1988-01,Atlantic Region,Land only,48.6,NA
1988-01,Newfoundland and Labrador,Total (house and land),41.7,NA
1988-01,Newfoundland and Labrador,House only,42.3,NA
1988-01,Newfoundland and Labrador,Land only,38.3,NA
1988-01,"St. John's, Newfoundland and Labrador",Total (house and land),41.7,NA
1988-01,"St. John's, Newfoundland and Labrador",House only,42.3,NA
1988-01,"St. John's, Newfoundland and Labrador",Land only,38.3,NA
1988-01,Nova Scotia,Total (house and land),53.7,NA
1988-01,Nova Scotia,House only,52.7,NA
1988-01,Nova Scotia,Land only,56,NA
1988-01,"Halifax, Nova Scotia",Total (house and land),53.7,NA
1988-01,"Halifax, Nova Scotia",House only,52.7,NA
1988-01,"Halifax, Nova Scotia",Land only,56,NA
1988-01,New Brunswick,Total (house and land),76,NA
1988-01,New Brunswick,House only,79,NA
1988-01,New Brunswick,Land only,66.6,NA
1988-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),76,NA
1988-01,"Saint John, Fredericton, and Moncton, New Brunswick",House only,79,NA
1988-01,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,66.6,NA
1988-01,Quebec,Total (house and land),48.4,NA
1988-01,Quebec,House only,50.1,NA
1988-01,Quebec,Land only,43,NA
1988-01,"Québec, Quebec",Total (house and land),47.4,NA
1988-01,"Québec, Quebec",House only,54.2,NA
1988-01,"Québec, Quebec",Land only,33,NA
1988-01,"Montréal, Quebec",Total (house and land),48.6,NA
1988-01,"Montréal, Quebec",House only,49.3,NA
1988-01,"Montréal, Quebec",Land only,46.3,NA
1988-01,Ontario,Total (house and land),49.6,NA
1988-01,Ontario,House only,46.1,NA
1988-01,Ontario,Land only,56.2,NA
1988-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),49,NA
1988-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,46.5,NA
1988-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,62.8,NA
1988-01,"Toronto, Ontario",Total (house and land),48.2,NA
1988-01,"Toronto, Ontario",House only,44.4,NA
1988-01,"Toronto, Ontario",Land only,53,NA
1988-01,"Hamilton, Ontario",Total (house and land),54.4,NA
1988-01,"Hamilton, Ontario",House only,47.2,NA
1988-01,"Hamilton, Ontario",Land only,70.6,NA
1988-01,"St. Catharines-Niagara, Ontario",Total (house and land),50.6,NA
1988-01,"St. Catharines-Niagara, Ontario",House only,46.4,NA
1988-01,"St. Catharines-Niagara, Ontario",Land only,62.4,NA
1988-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),58.4,NA
1988-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,53.5,NA
1988-01,"Kitchener-Cambridge-Waterloo, Ontario",Land only,70.6,NA
1988-01,"London, Ontario",Total (house and land),51,NA
1988-01,"London, Ontario",House only,46.3,NA
1988-01,"London, Ontario",Land only,66.8,NA
1988-01,"Windsor, Ontario",Total (house and land),73.7,NA
1988-01,"Windsor, Ontario",House only,77.5,NA
1988-01,"Windsor, Ontario",Land only,61.8,NA
1988-01,"Greater Sudbury, Ontario",Total (house and land),71.3,NA
1988-01,"Greater Sudbury, Ontario",House only,74.4,NA
1988-01,"Greater Sudbury, Ontario",Land only,61.2,NA
1988-01,Prairie Region,Total (house and land),31.7,NA
1988-01,Prairie Region,House only,33.1,NA
1988-01,Prairie Region,Land only,28,NA
1988-01,Manitoba,Total (house and land),38.2,NA
1988-01,Manitoba,House only,40.6,NA
1988-01,Manitoba,Land only,31.8,NA
1988-01,"Winnipeg, Manitoba",Total (house and land),38.2,NA
1988-01,"Winnipeg, Manitoba",House only,40.6,NA
1988-01,"Winnipeg, Manitoba",Land only,31.8,NA
1988-01,Saskatchewan,Total (house and land),32.2,NA
1988-01,Saskatchewan,House only,32.1,NA
1988-01,Saskatchewan,Land only,32,NA
1988-01,"Regina, Saskatchewan",Total (house and land),25.5,NA
1988-01,"Regina, Saskatchewan",House only,25.2,NA
1988-01,"Regina, Saskatchewan",Land only,26.2,NA
1988-01,"Saskatoon, Saskatchewan",Total (house and land),39,NA
1988-01,"Saskatoon, Saskatchewan",House only,39.9,NA
1988-01,"Saskatoon, Saskatchewan",Land only,36.8,NA
1988-01,Alberta,Total (house and land),29.3,NA
1988-01,Alberta,House only,30.9,NA
1988-01,Alberta,Land only,25.3,NA
1988-01,"Calgary, Alberta",Total (house and land),26.7,NA
1988-01,"Calgary, Alberta",House only,27.8,NA
1988-01,"Calgary, Alberta",Land only,23.9,NA
1988-01,"Edmonton, Alberta",Total (house and land),34,NA
1988-01,"Edmonton, Alberta",House only,36.6,NA
1988-01,"Edmonton, Alberta",Land only,27.8,NA
1988-01,British Columbia,Total (house and land),70.9,NA
