REF_DATE,GEO,Client groups,VALUE,STATUS
2001-04,British Columbia,Business clients,83.3,NA
2001-04,Territories,"Total, all client groups",79.3,NA
2001-04,Territories,Leisure clients,86.7,NA
2001-04,Territories,Business clients,75.4,NA
2001-04,Yukon,"Total, all client groups",85.4,NA
2001-04,Yukon,Leisure clients,89.9,NA
2001-04,Yukon,Business clients,80.9,NA
2001-04,Northwest Territories,"Total, all client groups",79.4,NA
2001-04,Northwest Territories,Leisure clients,87.6,NA
2001-04,Northwest Territories,Business clients,76.9,NA
2001-04,Nunavut,"Total, all client groups",66.2,NA
2001-04,Nunavut,Leisure clients,65.8,NA
2001-04,Nunavut,Business clients,66.4,NA
2001-07,Canada,"Total, all client groups",91.6,NA
2001-07,Canada,Leisure clients,93.6,NA
2001-07,Canada,Business clients,86,NA
2001-07,Atlantic Region,"Total, all client groups",87.6,NA
2001-07,Atlantic Region,Leisure clients,91.4,NA
2001-07,Atlantic Region,Business clients,84.3,NA
2001-07,Newfoundland and Labrador,"Total, all client groups",73,NA
2001-07,Newfoundland and Labrador,Leisure clients,76.1,NA
2001-07,Newfoundland and Labrador,Business clients,71.3,NA
2001-07,Prince Edward Island,"Total, all client groups",106.2,NA
2001-07,Prince Edward Island,Leisure clients,108.6,NA
2001-07,Prince Edward Island,Business clients,100.9,NA
2001-07,Nova Scotia,"Total, all client groups",101.6,NA
2001-07,Nova Scotia,Leisure clients,99.6,NA
2001-07,Nova Scotia,Business clients,102.4,NA
2001-07,New Brunswick,"Total, all client groups",81.1,NA
2001-07,New Brunswick,Leisure clients,87.5,NA
2001-07,New Brunswick,Business clients,77.4,NA
2001-07,Quebec Region,"Total, all client groups",93.3,NA
2001-07,Quebec Region,Leisure clients,88.8,NA
2001-07,Quebec Region,Business clients,95.6,NA
2001-07,Quebec,"Total, all client groups",93.3,NA
2001-07,Quebec,Leisure clients,88.8,NA
2001-07,Quebec,Business clients,95.6,NA
2001-07,Ontario Region,"Total, all client groups",98.7,NA
2001-07,Ontario Region,Leisure clients,108.1,NA
2001-07,Ontario Region,Business clients,92.3,NA
2001-07,Ontario,"Total, all client groups",98.7,NA
2001-07,Ontario,Leisure clients,108.1,NA
2001-07,Ontario,Business clients,92.3,NA
2001-07,Prairie Region,"Total, all client groups",77.7,NA
2001-07,Prairie Region,Leisure clients,76.9,NA
2001-07,Prairie Region,Business clients,69,NA
2001-07,Manitoba,"Total, all client groups",70.9,NA
2001-07,Manitoba,Leisure clients,69.5,NA
2001-07,Manitoba,Business clients,71.7,NA
2001-07,Saskatchewan,"Total, all client groups",59.4,NA
2001-07,Saskatchewan,Leisure clients,61,NA
2001-07,Saskatchewan,Business clients,58.2,NA
2001-07,Alberta,"Total, all client groups",83.3,NA
2001-07,Alberta,Leisure clients,83.8,NA
2001-07,Alberta,Business clients,71.4,NA
2001-07,British Columbia Region,"Total, all client groups",97.1,NA
2001-07,British Columbia Region,Leisure clients,96.6,NA
2001-07,British Columbia Region,Business clients,95.2,NA
2001-07,British Columbia,"Total, all client groups",97.1,NA
2001-07,British Columbia,Leisure clients,96.6,NA
2001-07,British Columbia,Business clients,95.2,NA
2001-07,Territories,"Total, all client groups",79,NA
2001-07,Territories,Leisure clients,84.1,NA
2001-07,Territories,Business clients,76.4,NA
2001-07,Yukon,"Total, all client groups",84.9,NA
2001-07,Yukon,Leisure clients,86.6,NA
2001-07,Yukon,Business clients,83.1,NA
2001-07,Northwest Territories,"Total, all client groups",78.8,NA
2001-07,Northwest Territories,Leisure clients,86,NA
2001-07,Northwest Territories,Business clients,76.7,NA
2001-07,Nunavut,"Total, all client groups",66.9,NA
2001-07,Nunavut,Leisure clients,66,NA
2001-07,Nunavut,Business clients,67.1,NA
2001-10,Canada,"Total, all client groups",76.2,NA
2001-10,Canada,Leisure clients,76.4,NA
2001-10,Canada,Business clients,74.5,NA
2001-10,Atlantic Region,"Total, all client groups",72.5,NA
2001-10,Atlantic Region,Leisure clients,74.7,NA
2001-10,Atlantic Region,Business clients,70.7,NA
2001-10,Newfoundland and Labrador,"Total, all client groups",65.8,NA
2001-10,Newfoundland and Labrador,Leisure clients,67.3,NA
2001-10,Newfoundland and Labrador,Business clients,64.8,NA
2001-10,Prince Edward Island,"Total, all client groups",68.5,NA
2001-10,Prince Edward Island,Leisure clients,65.9,NA
2001-10,Prince Edward Island,Business clients,72.4,NA
2001-10,Nova Scotia,"Total, all client groups",79.7,NA
2001-10,Nova Scotia,Leisure clients,83.1,NA
2001-10,Nova Scotia,Business clients,77,NA
2001-10,New Brunswick,"Total, all client groups",72.1,NA
2001-10,New Brunswick,Leisure clients,75.7,NA
2001-10,New Brunswick,Business clients,69.9,NA
2001-10,Quebec Region,"Total, all client groups",77.9,NA
2001-10,Quebec Region,Leisure clients,73.6,NA
2001-10,Quebec Region,Business clients,80.8,NA
2001-10,Quebec,"Total, all client groups",77.9,NA
2001-10,Quebec,Leisure clients,73.6,NA
2001-10,Quebec,Business clients,80.8,NA
2001-10,Ontario Region,"Total, all client groups",86.8,NA
2001-10,Ontario Region,Leisure clients,90.2,NA
2001-10,Ontario Region,Business clients,84.3,NA
2001-10,Ontario,"Total, all client groups",86.8,NA
