REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2008-04,Canada,Building material and garden equipment and supplies dealers [444],85.1,NA,[444]
2008-04,Canada,Building material and supplies dealers [4441],84.4,NA,[4441]
2008-04,Canada,Home centres [44411],80.4,NA,[44411]
2008-04,Canada,Paint and wallpaper stores [44412],94.6,NA,[44412]
2008-04,Canada,Other building material dealers [44419],104.8,NA,[44419]
2008-04,Canada,Lawn and garden equipment and supplies stores [4442],102.2,NA,[4442]
2008-04,Canada,Nursery stores and garden centres [44422],101.7,NA,[44422]
2008-04,Canada,Food and beverage stores [445],85,NA,[445]
2008-04,Canada,Grocery stores [4451],83.6,NA,[4451]
2008-04,Canada,Supermarkets and other grocery (except convenience) stores [44511],83.2,NA,[44511]
2008-04,Canada,Convenience stores [44512],87.5,NA,[44512]
2008-04,Canada,Specialty food stores [4452],82.2,NA,[4452]
2008-04,Canada,Other specialty food stores [44529],89.9,NA,[44529]
2008-04,Canada,"Beer, wine and liquor stores [4453]",93.9,NA,[4453]
2008-04,Canada,"Beer, wine and liquor stores [44531]",93.9,NA,[44531]
2008-04,Canada,Health and personal care stores [446],88.2,NA,[446]
2008-04,Canada,Health and personal care stores [4461],88.2,NA,[4461]
2008-04,Canada,Pharmacies and drug stores [44611],87.1,NA,[44611]
2008-04,Canada,"Cosmetics, beauty supplies and perfume stores [44612]",92.9,NA,[44612]
2008-04,Canada,Optical goods stores [44613],97.6,NA,[44613]
2008-04,Canada,Other health and personal care stores [44619],96.9,NA,[44619]
2008-04,Canada,Gasoline stations [447],93.9,NA,[447]
2008-04,Canada,Gasoline stations [4471],93.9,NA,[4471]
2008-04,Canada,Gasoline stations with convenience stores [44711],88.4,NA,[44711]
2008-04,Canada,Other gasoline stations [44719],96.2,NA,[44719]
2008-04,Canada,Clothing and clothing accessories stores [448],101.3,NA,[448]
2008-04,Canada,Clothing stores [4481],100.4,NA,[4481]
2008-04,Canada,Men's clothing stores [44811],101,NA,[44811]
2008-04,Canada,Women's clothing stores [44812],99.2,NA,[44812]
2008-04,Canada,Family clothing stores [44814],101.8,NA,[44814]
