REF_DATE,GEO,North American Product Classification System (NAPCS),VALUE,STATUS,Classification Code for North American Product Classification System (NAPCS)
1993-11,Canada,Nickel ores and concentrates [153],35,NA,[153]
1993-11,Canada,Radioactive ores and concentrates [154],36.7,NA,[154]
1993-11,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",24.9,NA,[15511]
1993-11,Canada,Waste and scrap of iron and steel [15611],95.8,NA,[15611]
1993-11,Canada,Waste and scrap of non-ferrous metals [15612],23.1,NA,[15612]
1993-12,Canada,"Total, Raw materials price indexes (RMPI)",44.1,NA,NA
1993-12,Canada,Crude energy products [M51],26.2,NA,[M51]
1993-12,Canada,Conventional crude oil [14111],24.3,NA,[14111]
1993-12,Canada,Natural gas [142],117.1,NA,[142]
1993-12,Canada,Hard coal [14411],81.6,NA,[14411]
1993-12,Canada,"Total, excluding crude energy products",57.6,NA,NA
1993-12,Canada,Crop products [M11],55.3,NA,[M11]
1993-12,Canada,Wheat [112],63,NA,[112]
1993-12,Canada,Canola (including rapeseed) [113],68.5,NA,[113]
1993-12,Canada,Fresh potatoes [11421],43.8,NA,[11421]
1993-12,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],61.9,NA,[11422]
1993-12,Canada,Animals and animal products [M21],65.3,NA,[M21]
1993-12,Canada,Cattle and calves [11111],65.3,NA,[11111]
1993-12,Canada,Hogs [11112],93.5,NA,[11112]
1993-12,Canada,Poultry [11113],71.6,NA,[11113]
1993-12,Canada,Eggs in shell [11611],58.4,NA,[11611]
1993-12,Canada,Unprocessed milk [11612],50.8,NA,[11612]
1993-12,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",72.7,NA,[121]
1993-12,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",72.7,NA,[12111]
1993-12,Canada,Non-metallic minerals [M31],47.1,NA,[M31]
1993-12,Canada,Stone [16211],52,NA,[16211]
1993-12,Canada,Logs and bolts [13111],85.7,NA,[13111]
1993-12,Canada,Pulpwood [13112],140.2,NA,[13112]
1993-12,Canada,Natural rubber [282M],49.7,NA,[282M]
1993-12,Canada,Iron ores and concentrates [151],49.2,NA,[151]
1993-12,Canada,Copper ores and concentrates [152],33.4,NA,[152]
1993-12,Canada,Nickel ores and concentrates [153],36.4,NA,[153]
1993-12,Canada,Radioactive ores and concentrates [154],36.7,NA,[154]
1993-12,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",26.2,NA,[15511]
1993-12,Canada,Waste and scrap of iron and steel [15611],97,NA,[15611]
1993-12,Canada,Waste and scrap of non-ferrous metals [15612],26.2,NA,[15612]
1994-01,Canada,"Total, Raw materials price indexes (RMPI)",44.8,NA,NA
1994-01,Canada,Crude energy products [M51],26.5,NA,[M51]
1994-01,Canada,Conventional crude oil [14111],24.5,NA,[14111]
1994-01,Canada,Natural gas [142],117.7,NA,[142]
1994-01,Canada,Hard coal [14411],87,NA,[14411]
1994-01,Canada,"Total, excluding crude energy products",58.7,NA,NA
1994-01,Canada,Crop products [M11],56.3,NA,[M11]
1994-01,Canada,Wheat [112],61.6,NA,[112]
1994-01,Canada,Canola (including rapeseed) [113],76.5,NA,[113]
1994-01,Canada,Fresh potatoes [11421],44.2,NA,[11421]
1994-01,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],61.9,NA,[11422]
1994-01,Canada,Animals and animal products [M21],66.3,NA,[M21]
1994-01,Canada,Cattle and calves [11111],66,NA,[11111]
1994-01,Canada,Hogs [11112],100.5,NA,[11112]
1994-01,Canada,Poultry [11113],71.7,NA,[11113]
1994-01,Canada,Eggs in shell [11611],57.8,NA,[11611]
1994-01,Canada,Unprocessed milk [11612],50.8,NA,[11612]
1994-01,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",72.6,NA,[121]
1994-01,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",72.6,NA,[12111]
1994-01,Canada,Non-metallic minerals [M31],48.2,NA,[M31]
1994-01,Canada,Stone [16211],53.4,NA,[16211]
1994-01,Canada,Logs and bolts [13111],87.3,NA,[13111]
1994-01,Canada,Pulpwood [13112],141.1,NA,[13112]
1994-01,Canada,Natural rubber [282M],50.3,NA,[282M]
1994-01,Canada,Iron ores and concentrates [151],48.9,NA,[151]
1994-01,Canada,Copper ores and concentrates [152],35.6,NA,[152]
1994-01,Canada,Nickel ores and concentrates [153],40.2,NA,[153]
1994-01,Canada,Radioactive ores and concentrates [154],35.2,NA,[154]
1994-01,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",26.4,NA,[15511]
1994-01,Canada,Waste and scrap of iron and steel [15611],99.7,NA,[15611]
1994-01,Canada,Waste and scrap of non-ferrous metals [15612],28.9,NA,[15612]
1994-02,Canada,"Total, Raw materials price indexes (RMPI)",45.9,NA,NA
1994-02,Canada,Crude energy products [M51],27,NA,[M51]
1994-02,Canada,Conventional crude oil [14111],24.9,NA,[14111]
1994-02,Canada,Natural gas [142],122.6,NA,[142]
1994-02,Canada,Hard coal [14411],87.4,NA,[14411]
1994-02,Canada,"Total, excluding crude energy products",60.3,NA,NA
1994-02,Canada,Crop products [M11],57.3,NA,[M11]
1994-02,Canada,Wheat [112],62.9,NA,[112]
1994-02,Canada,Canola (including rapeseed) [113],75.2,NA,[113]
1994-02,Canada,Fresh potatoes [11421],49.6,NA,[11421]
1994-02,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],61.9,NA,[11422]
1994-02,Canada,Animals and animal products [M21],67.9,NA,[M21]
1994-02,Canada,Cattle and calves [11111],65.8,NA,[11111]
1994-02,Canada,Hogs [11112],113.8,NA,[11112]
1994-02,Canada,Poultry [11113],71.6,NA,[11113]
1994-02,Canada,Eggs in shell [11611],58.3,NA,[11611]
1994-02,Canada,Unprocessed milk [11612],50.8,NA,[11612]
1994-02,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",72.8,NA,[121]
1994-02,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",72.8,NA,[12111]
1994-02,Canada,Non-metallic minerals [M31],48.7,NA,[M31]
1994-02,Canada,Stone [16211],53.1,NA,[16211]
1994-02,Canada,Logs and bolts [13111],88.9,NA,[13111]
1994-02,Canada,Pulpwood [13112],140.7,NA,[13112]
1994-02,Canada,Natural rubber [282M],53.3,NA,[282M]
1994-02,Canada,Iron ores and concentrates [151],49.8,NA,[151]
1994-02,Canada,Copper ores and concentrates [152],37.2,NA,[152]
1994-02,Canada,Nickel ores and concentrates [153],43.7,NA,[153]
1994-02,Canada,Radioactive ores and concentrates [154],35,NA,[154]
1994-02,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",26.8,NA,[15511]
1994-02,Canada,Waste and scrap of iron and steel [15611],101.1,NA,[15611]
1994-02,Canada,Waste and scrap of non-ferrous metals [15612],33.1,NA,[15612]
1994-03,Canada,"Total, Raw materials price indexes (RMPI)",46.4,NA,NA
1994-03,Canada,Crude energy products [M51],27,NA,[M51]
1994-03,Canada,Conventional crude oil [14111],24.9,NA,[14111]
1994-03,Canada,Natural gas [142],122.6,NA,[142]
1994-03,Canada,Hard coal [14411],85.3,NA,[14411]
1994-03,Canada,"Total, excluding crude energy products",61.1,NA,NA
1994-03,Canada,Crop products [M11],58.4,NA,[M11]
1994-03,Canada,Wheat [112],60.9,NA,[112]
1994-03,Canada,Canola (including rapeseed) [113],76.7,NA,[113]
1994-03,Canada,Fresh potatoes [11421],55.3,NA,[11421]
1994-03,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],61.9,NA,[11422]
1994-03,Canada,Animals and animal products [M21],68,NA,[M21]
1994-03,Canada,Cattle and calves [11111],70.1,NA,[11111]
1994-03,Canada,Hogs [11112],107.3,NA,[11112]
1994-03,Canada,Poultry [11113],70.7,NA,[11113]
1994-03,Canada,Eggs in shell [11611],59,NA,[11611]
1994-03,Canada,Unprocessed milk [11612],50.8,NA,[11612]
1994-03,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",73.1,NA,[121]
1994-03,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",73.1,NA,[12111]
1994-03,Canada,Non-metallic minerals [M31],48.9,NA,[M31]
1994-03,Canada,Stone [16211],53.1,NA,[16211]
1994-03,Canada,Logs and bolts [13111],90.5,NA,[13111]
1994-03,Canada,Pulpwood [13112],142,NA,[13112]
1994-03,Canada,Natural rubber [282M],56,NA,[282M]
1994-03,Canada,Iron ores and concentrates [151],50,NA,[151]
1994-03,Canada,Copper ores and concentrates [152],39.7,NA,[152]
1994-03,Canada,Nickel ores and concentrates [153],43.8,NA,[153]
1994-03,Canada,Radioactive ores and concentrates [154],34.8,NA,[154]
1994-03,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",27.3,NA,[15511]
1994-03,Canada,Waste and scrap of iron and steel [15611],101.6,NA,[15611]
1994-03,Canada,Waste and scrap of non-ferrous metals [15612],35.1,NA,[15612]
1994-04,Canada,"Total, Raw materials price indexes (RMPI)",47.9,NA,NA
1994-04,Canada,Crude energy products [M51],30.1,NA,[M51]
1994-04,Canada,Conventional crude oil [14111],28.3,NA,[14111]
1994-04,Canada,Natural gas [142],110.7,NA,[142]
1994-04,Canada,Hard coal [14411],86.8,NA,[14411]
1994-04,Canada,"Total, excluding crude energy products",61.5,NA,NA
1994-04,Canada,Crop products [M11],59.4,NA,[M11]
1994-04,Canada,Wheat [112],59.7,NA,[112]
1994-04,Canada,Canola (including rapeseed) [113],83.1,NA,[113]
1994-04,Canada,Fresh potatoes [11421],56.9,NA,[11421]
1994-04,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],61.9,NA,[11422]
1994-04,Canada,Animals and animal products [M21],67.5,NA,[M21]
1994-04,Canada,Cattle and calves [11111],71.4,NA,[11111]
1994-04,Canada,Hogs [11112],104.1,NA,[11112]
1994-04,Canada,Poultry [11113],69,NA,[11113]
1994-04,Canada,Eggs in shell [11611],58.8,NA,[11611]
1994-04,Canada,Unprocessed milk [11612],50.8,NA,[11612]
1994-04,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",69.9,NA,[121]
1994-04,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",69.9,NA,[12111]
1994-04,Canada,Non-metallic minerals [M31],49.9,NA,[M31]
1994-04,Canada,Stone [16211],54.6,NA,[16211]
1994-04,Canada,Logs and bolts [13111],92.3,NA,[13111]
1994-04,Canada,Pulpwood [13112],143.3,NA,[13112]
1994-04,Canada,Natural rubber [282M],59.5,NA,[282M]
1994-04,Canada,Iron ores and concentrates [151],50.5,NA,[151]
1994-04,Canada,Copper ores and concentrates [152],38.5,NA,[152]
1994-04,Canada,Nickel ores and concentrates [153],43.3,NA,[153]
1994-04,Canada,Radioactive ores and concentrates [154],34.8,NA,[154]
1994-04,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",27,NA,[15511]
1994-04,Canada,Waste and scrap of iron and steel [15611],103.2,NA,[15611]
1994-04,Canada,Waste and scrap of non-ferrous metals [15612],34.8,NA,[15612]
1994-05,Canada,"Total, Raw materials price indexes (RMPI)",49.5,NA,NA
1994-05,Canada,Crude energy products [M51],32.7,NA,[M51]
1994-05,Canada,Conventional crude oil [14111],31.1,NA,[14111]
1994-05,Canada,Natural gas [142],110.7,NA,[142]
1994-05,Canada,Hard coal [14411],87,NA,[14411]
1994-05,Canada,"Total, excluding crude energy products",62.5,NA,NA
1994-05,Canada,Crop products [M11],62.1,NA,[M11]
1994-05,Canada,Wheat [112],60.9,NA,[112]
1994-05,Canada,Canola (including rapeseed) [113],89.4,NA,[113]
1994-05,Canada,Fresh potatoes [11421],55,NA,[11421]
1994-05,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],61.9,NA,[11422]
1994-05,Canada,Animals and animal products [M21],66.5,NA,[M21]
1994-05,Canada,Cattle and calves [11111],67.5,NA,[11111]
1994-05,Canada,Hogs [11112],104,NA,[11112]
1994-05,Canada,Poultry [11113],68.3,NA,[11113]
1994-05,Canada,Eggs in shell [11611],58.7,NA,[11611]
1994-05,Canada,Unprocessed milk [11612],50.9,NA,[11612]
1994-05,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",69.8,NA,[121]
1994-05,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",69.8,NA,[12111]
1994-05,Canada,Non-metallic minerals [M31],49.4,NA,[M31]
1994-05,Canada,Stone [16211],53.1,NA,[16211]
1994-05,Canada,Logs and bolts [13111],93.3,NA,[13111]
1994-05,Canada,Pulpwood [13112],142.3,NA,[13112]
1994-05,Canada,Natural rubber [282M],60.3,NA,[282M]
1994-05,Canada,Iron ores and concentrates [151],50.4,NA,[151]
1994-05,Canada,Copper ores and concentrates [152],44.9,NA,[152]
1994-05,Canada,Nickel ores and concentrates [153],44.3,NA,[153]
1994-05,Canada,Radioactive ores and concentrates [154],34.4,NA,[154]
1994-05,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",27.2,NA,[15511]
1994-05,Canada,Waste and scrap of iron and steel [15611],98.3,NA,[15611]
1994-05,Canada,Waste and scrap of non-ferrous metals [15612],36.9,NA,[15612]
1994-06,Canada,"Total, Raw materials price indexes (RMPI)",50.4,NA,NA
1994-06,Canada,Crude energy products [M51],34.8,NA,[M51]
1994-06,Canada,Conventional crude oil [14111],33.2,NA,[14111]
1994-06,Canada,Natural gas [142],110.7,NA,[142]
1994-06,Canada,Hard coal [14411],87.1,NA,[14411]
1994-06,Canada,"Total, excluding crude energy products",62.6,NA,NA
1994-06,Canada,Crop products [M11],62.4,NA,[M11]
1994-06,Canada,Wheat [112],56.6,NA,[112]
1994-06,Canada,Canola (including rapeseed) [113],86.9,NA,[113]
1994-06,Canada,Fresh potatoes [11421],55.4,NA,[11421]
1994-06,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],62,NA,[11422]
1994-06,Canada,Animals and animal products [M21],65.5,NA,[M21]
1994-06,Canada,Cattle and calves [11111],62.6,NA,[11111]
1994-06,Canada,Hogs [11112],104.2,NA,[11112]
1994-06,Canada,Poultry [11113],67.7,NA,[11113]
1994-06,Canada,Eggs in shell [11611],59,NA,[11611]
1994-06,Canada,Unprocessed milk [11612],50.9,NA,[11612]
1994-06,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",70.1,NA,[121]
1994-06,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",70.1,NA,[12111]
1994-06,Canada,Non-metallic minerals [M31],49.3,NA,[M31]
1994-06,Canada,Stone [16211],53.1,NA,[16211]
1994-06,Canada,Logs and bolts [13111],93.4,NA,[13111]
1994-06,Canada,Pulpwood [13112],143.4,NA,[13112]
1994-06,Canada,Natural rubber [282M],65.9,NA,[282M]
1994-06,Canada,Iron ores and concentrates [151],50.6,NA,[151]
1994-06,Canada,Copper ores and concentrates [152],48.6,NA,[152]
1994-06,Canada,Nickel ores and concentrates [153],48.8,NA,[153]
1994-06,Canada,Radioactive ores and concentrates [154],34.4,NA,[154]
1994-06,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",27.8,NA,[15511]
1994-06,Canada,Waste and scrap of iron and steel [15611],90,NA,[15611]
1994-06,Canada,Waste and scrap of non-ferrous metals [15612],39,NA,[15612]
1994-07,Canada,"Total, Raw materials price indexes (RMPI)",51.2,NA,NA
1994-07,Canada,Crude energy products [M51],36,NA,[M51]
1994-07,Canada,Conventional crude oil [14111],34.4,NA,[14111]
1994-07,Canada,Natural gas [142],110.7,NA,[142]
1994-07,Canada,Hard coal [14411],82.1,NA,[14411]
1994-07,Canada,"Total, excluding crude energy products",63.1,NA,NA
1994-07,Canada,Crop products [M11],59.4,NA,[M11]
1994-07,Canada,Wheat [112],50.8,NA,[112]
1994-07,Canada,Canola (including rapeseed) [113],75.7,NA,[113]
1994-07,Canada,Fresh potatoes [11421],56.9,NA,[11421]
1994-07,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],62.6,NA,[11422]
1994-07,Canada,Animals and animal products [M21],65.8,NA,[M21]
1994-07,Canada,Cattle and calves [11111],64.9,NA,[11111]
1994-07,Canada,Hogs [11112],103.2,NA,[11112]
1994-07,Canada,Poultry [11113],66.4,NA,[11113]
1994-07,Canada,Eggs in shell [11611],60.1,NA,[11611]
1994-07,Canada,Unprocessed milk [11612],50.9,NA,[11612]
1994-07,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",70.3,NA,[121]
1994-07,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",70.3,NA,[12111]
1994-07,Canada,Non-metallic minerals [M31],47.6,NA,[M31]
1994-07,Canada,Stone [16211],53.1,NA,[16211]
1994-07,Canada,Logs and bolts [13111],94.1,NA,[13111]
1994-07,Canada,Pulpwood [13112],149.8,NA,[13112]
1994-07,Canada,Natural rubber [282M],72.9,NA,[282M]
1994-07,Canada,Iron ores and concentrates [151],50.4,NA,[151]
1994-07,Canada,Copper ores and concentrates [152],49,NA,[152]
1994-07,Canada,Nickel ores and concentrates [153],48.3,NA,[153]
1994-07,Canada,Radioactive ores and concentrates [154],34,NA,[154]
1994-07,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",27.3,NA,[15511]
1994-07,Canada,Waste and scrap of iron and steel [15611],94.8,NA,[15611]
1994-07,Canada,Waste and scrap of non-ferrous metals [15612],40.1,NA,[15612]
1994-08,Canada,"Total, Raw materials price indexes (RMPI)",51.1,NA,NA
1994-08,Canada,Crude energy products [M51],34.3,NA,[M51]
1994-08,Canada,Conventional crude oil [14111],32.7,NA,[14111]
1994-08,Canada,Natural gas [142],110.7,NA,[142]
1994-08,Canada,Hard coal [14411],82,NA,[14411]
1994-08,Canada,"Total, excluding crude energy products",64.1,NA,NA
1994-08,Canada,Crop products [M11],61.1,NA,[M11]
1994-08,Canada,Wheat [112],52.3,NA,[112]
1994-08,Canada,Canola (including rapeseed) [113],70.8,NA,[113]
1994-08,Canada,Fresh potatoes [11421],56.9,NA,[11421]
1994-08,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],62.6,NA,[11422]
1994-08,Canada,Animals and animal products [M21],66.1,NA,[M21]
1994-08,Canada,Cattle and calves [11111],65.9,NA,[11111]
1994-08,Canada,Hogs [11112],104.6,NA,[11112]
1994-08,Canada,Poultry [11113],66.3,NA,[11113]
1994-08,Canada,Eggs in shell [11611],60.1,NA,[11611]
1994-08,Canada,Unprocessed milk [11612],50.9,NA,[11612]
1994-08,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",70.4,NA,[121]
1994-08,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",70.4,NA,[12111]
1994-08,Canada,Non-metallic minerals [M31],47.8,NA,[M31]
1994-08,Canada,Stone [16211],52.9,NA,[16211]
1994-08,Canada,Logs and bolts [13111],94.6,NA,[13111]
1994-08,Canada,Pulpwood [13112],153.5,NA,[13112]
1994-08,Canada,Natural rubber [282M],79.5,NA,[282M]
1994-08,Canada,Iron ores and concentrates [151],50.4,NA,[151]
1994-08,Canada,Copper ores and concentrates [152],47.7,NA,[152]
1994-08,Canada,Nickel ores and concentrates [153],46.8,NA,[153]
1994-08,Canada,Radioactive ores and concentrates [154],34,NA,[154]
1994-08,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",26.7,NA,[15511]
1994-08,Canada,Waste and scrap of iron and steel [15611],106.8,NA,[15611]
1994-08,Canada,Waste and scrap of non-ferrous metals [15612],40.4,NA,[15612]
1994-09,Canada,"Total, Raw materials price indexes (RMPI)",49.8,NA,NA
1994-09,Canada,Crude energy products [M51],31.5,NA,[M51]
1994-09,Canada,Conventional crude oil [14111],29.8,NA,[14111]
1994-09,Canada,Natural gas [142],110.7,NA,[142]
1994-09,Canada,Hard coal [14411],82.1,NA,[14411]
1994-09,Canada,"Total, excluding crude energy products",63.8,NA,NA
1994-09,Canada,Crop products [M11],60.1,NA,[M11]
1994-09,Canada,Wheat [112],56.2,NA,[112]
1994-09,Canada,Canola (including rapeseed) [113],68.3,NA,[113]
1994-09,Canada,Fresh potatoes [11421],43,NA,[11421]
1994-09,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],62.7,NA,[11422]
1994-09,Canada,Animals and animal products [M21],63.5,NA,[M21]
1994-09,Canada,Cattle and calves [11111],61.9,NA,[11111]
1994-09,Canada,Hogs [11112],91.2,NA,[11112]
1994-09,Canada,Poultry [11113],67.3,NA,[11113]
1994-09,Canada,Eggs in shell [11611],60.1,NA,[11611]
1994-09,Canada,Unprocessed milk [11612],51.1,NA,[11612]
1994-09,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",68.3,NA,[121]
1994-09,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",68.3,NA,[12111]
1994-09,Canada,Non-metallic minerals [M31],47.9,NA,[M31]
1994-09,Canada,Stone [16211],53.2,NA,[16211]
1994-09,Canada,Logs and bolts [13111],93.9,NA,[13111]
1994-09,Canada,Pulpwood [13112],156.9,NA,[13112]
1994-09,Canada,Natural rubber [282M],75.1,NA,[282M]
1994-09,Canada,Iron ores and concentrates [151],49.8,NA,[151]
1994-09,Canada,Copper ores and concentrates [152],51.5,NA,[152]
1994-09,Canada,Nickel ores and concentrates [153],48.5,NA,[153]
1994-09,Canada,Radioactive ores and concentrates [154],33.7,NA,[154]
1994-09,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",27.2,NA,[15511]
1994-09,Canada,Waste and scrap of iron and steel [15611],107.7,NA,[15611]
1994-09,Canada,Waste and scrap of non-ferrous metals [15612],41.5,NA,[15612]
1994-10,Canada,"Total, Raw materials price indexes (RMPI)",50.4,NA,NA
1994-10,Canada,Crude energy products [M51],32.2,NA,[M51]
1994-10,Canada,Conventional crude oil [14111],30.6,NA,[14111]
1994-10,Canada,Natural gas [142],109.2,NA,[142]
1994-10,Canada,Hard coal [14411],82.7,NA,[14411]
1994-10,Canada,"Total, excluding crude energy products",64.5,NA,NA
1994-10,Canada,Crop products [M11],60.2,NA,[M11]
1994-10,Canada,Wheat [112],61.6,NA,[112]
1994-10,Canada,Canola (including rapeseed) [113],69.2,NA,[113]
1994-10,Canada,Fresh potatoes [11421],44.2,NA,[11421]
1994-10,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],62.7,NA,[11422]
1994-10,Canada,Animals and animal products [M21],63.7,NA,[M21]
1994-10,Canada,Cattle and calves [11111],67.8,NA,[11111]
1994-10,Canada,Hogs [11112],78.7,NA,[11112]
1994-10,Canada,Poultry [11113],67.7,NA,[11113]
1994-10,Canada,Eggs in shell [11611],60,NA,[11611]
1994-10,Canada,Unprocessed milk [11612],51.2,NA,[11612]
1994-10,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",69.5,NA,[121]
1994-10,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",69.5,NA,[12111]
1994-10,Canada,Non-metallic minerals [M31],47.8,NA,[M31]
1994-10,Canada,Stone [16211],52.8,NA,[16211]
1994-10,Canada,Logs and bolts [13111],94.8,NA,[13111]
1994-10,Canada,Pulpwood [13112],160.2,NA,[13112]
1994-10,Canada,Natural rubber [282M],84.8,NA,[282M]
1994-10,Canada,Iron ores and concentrates [151],49.8,NA,[151]
1994-10,Canada,Copper ores and concentrates [152],50,NA,[152]
1994-10,Canada,Nickel ores and concentrates [153],48.9,NA,[153]
1994-10,Canada,Radioactive ores and concentrates [154],33.7,NA,[154]
1994-10,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",27.1,NA,[15511]
1994-10,Canada,Waste and scrap of iron and steel [15611],104.7,NA,[15611]
1994-10,Canada,Waste and scrap of non-ferrous metals [15612],44.3,NA,[15612]
1994-11,Canada,"Total, Raw materials price indexes (RMPI)",51.9,NA,NA
1994-11,Canada,Crude energy products [M51],33.8,NA,[M51]
1994-11,Canada,Conventional crude oil [14111],32.2,NA,[14111]
1994-11,Canada,Natural gas [142],113.4,NA,[142]
1994-11,Canada,Hard coal [14411],78.2,NA,[14411]
1994-11,Canada,"Total, excluding crude energy products",65.9,NA,NA
1994-11,Canada,Crop products [M11],61.7,NA,[M11]
1994-11,Canada,Wheat [112],62.6,NA,[112]
1994-11,Canada,Canola (including rapeseed) [113],75.9,NA,[113]
1994-11,Canada,Fresh potatoes [11421],46.1,NA,[11421]
1994-11,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],62.7,NA,[11422]
1994-11,Canada,Animals and animal products [M21],62.6,NA,[M21]
1994-11,Canada,Cattle and calves [11111],64.5,NA,[11111]
1994-11,Canada,Hogs [11112],73.8,NA,[11112]
1994-11,Canada,Poultry [11113],68.2,NA,[11113]
1994-11,Canada,Eggs in shell [11611],60.5,NA,[11611]
1994-11,Canada,Unprocessed milk [11612],51.2,NA,[11612]
1994-11,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",72.3,NA,[121]
1994-11,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",72.3,NA,[12111]
1994-11,Canada,Non-metallic minerals [M31],48,NA,[M31]
1994-11,Canada,Stone [16211],52.8,NA,[16211]
1994-11,Canada,Logs and bolts [13111],96.1,NA,[13111]
1994-11,Canada,Pulpwood [13112],164.9,NA,[13112]
1994-11,Canada,Natural rubber [282M],83.2,NA,[282M]
1994-11,Canada,Iron ores and concentrates [151],50,NA,[151]
1994-11,Canada,Copper ores and concentrates [152],55.8,NA,[152]
1994-11,Canada,Nickel ores and concentrates [153],56.4,NA,[153]
1994-11,Canada,Radioactive ores and concentrates [154],34.6,NA,[154]
1994-11,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",27.1,NA,[15511]
1994-11,Canada,Waste and scrap of iron and steel [15611],105.5,NA,[15611]
1994-11,Canada,Waste and scrap of non-ferrous metals [15612],47.9,NA,[15612]
1994-12,Canada,"Total, Raw materials price indexes (RMPI)",52.3,NA,NA
1994-12,Canada,Crude energy products [M51],33.1,NA,[M51]
1994-12,Canada,Conventional crude oil [14111],31.4,NA,[14111]
1994-12,Canada,Natural gas [142],117.1,NA,[142]
1994-12,Canada,Hard coal [14411],78.7,NA,[14411]
1994-12,Canada,"Total, excluding crude energy products",67,NA,NA
1994-12,Canada,Crop products [M11],63,NA,[M11]
1994-12,Canada,Wheat [112],65.1,NA,[112]
1994-12,Canada,Canola (including rapeseed) [113],80.2,NA,[113]
1994-12,Canada,Fresh potatoes [11421],47.1,NA,[11421]
1994-12,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],62.7,NA,[11422]
1994-12,Canada,Animals and animal products [M21],63.4,NA,[M21]
1994-12,Canada,Cattle and calves [11111],65.6,NA,[11111]
1994-12,Canada,Hogs [11112],78.2,NA,[11112]
1994-12,Canada,Poultry [11113],68.2,NA,[11113]
1994-12,Canada,Eggs in shell [11611],60.5,NA,[11611]
1994-12,Canada,Unprocessed milk [11612],51.2,NA,[11612]
1994-12,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",72.5,NA,[121]
1994-12,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",72.5,NA,[12111]
1994-12,Canada,Non-metallic minerals [M31],48,NA,[M31]
1994-12,Canada,Stone [16211],52.9,NA,[16211]
1994-12,Canada,Logs and bolts [13111],97,NA,[13111]
1994-12,Canada,Pulpwood [13112],169.2,NA,[13112]
1994-12,Canada,Natural rubber [282M],91,NA,[282M]
1994-12,Canada,Iron ores and concentrates [151],50.6,NA,[151]
1994-12,Canada,Copper ores and concentrates [152],60.1,NA,[152]
1994-12,Canada,Nickel ores and concentrates [153],65.8,NA,[153]
1994-12,Canada,Radioactive ores and concentrates [154],35.3,NA,[154]
1994-12,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",26.7,NA,[15511]
1994-12,Canada,Waste and scrap of iron and steel [15611],107.9,NA,[15611]
1994-12,Canada,Waste and scrap of non-ferrous metals [15612],48.8,NA,[15612]
1995-01,Canada,"Total, Raw materials price indexes (RMPI)",53.9,NA,NA
