REF_DATE,GEO,VALUE,STATUS
2010,Canada,100,NA
2011,Canada,98.9,NA
2012,Canada,96.6,NA
2013,Canada,98.6,NA
2014,Canada,102.1,NA
2015,Canada,101.5,NA
2016,Canada,98.7,NA
2017,Canada,110.4,NA
