REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2008-03,Canada,Electronics and appliance stores [443],124.9,NA,[443]
2008-03,Canada,Electronics and appliance stores [4431],124.9,NA,[4431]
2008-03,Canada,Electronics and appliance stores [44314],124.9,NA,[44314]
2008-03,Canada,Building material and garden equipment and supplies dealers [444],84.7,NA,[444]
2008-03,Canada,Building material and supplies dealers [4441],83.9,NA,[4441]
2008-03,Canada,Home centres [44411],80.1,NA,[44411]
2008-03,Canada,Paint and wallpaper stores [44412],95.2,NA,[44412]
2008-03,Canada,Other building material dealers [44419],103.2,NA,[44419]
2008-03,Canada,Lawn and garden equipment and supplies stores [4442],103,NA,[4442]
2008-03,Canada,Nursery stores and garden centres [44422],102.9,NA,[44422]
2008-03,Canada,Food and beverage stores [445],83.1,NA,[445]
2008-03,Canada,Grocery stores [4451],81.3,NA,[4451]
2008-03,Canada,Supermarkets and other grocery (except convenience) stores [44511],80.9,NA,[44511]
2008-03,Canada,Convenience stores [44512],85.5,NA,[44512]
2008-03,Canada,Specialty food stores [4452],81.7,NA,[4452]
2008-03,Canada,Other specialty food stores [44529],88.6,NA,[44529]
2008-03,Canada,"Beer, wine and liquor stores [4453]",93.9,NA,[4453]
2008-03,Canada,"Beer, wine and liquor stores [44531]",93.9,NA,[44531]
2008-03,Canada,Health and personal care stores [446],87.2,NA,[446]
2008-03,Canada,Health and personal care stores [4461],87.2,NA,[4461]
2008-03,Canada,Pharmacies and drug stores [44611],85.8,NA,[44611]
2008-03,Canada,"Cosmetics, beauty supplies and perfume stores [44612]",92.2,NA,[44612]
2008-03,Canada,Optical goods stores [44613],98.3,NA,[44613]
2008-03,Canada,Other health and personal care stores [44619],98.2,NA,[44619]
2008-03,Canada,Gasoline stations [447],91.7,NA,[447]
2008-03,Canada,Gasoline stations [4471],91.7,NA,[4471]
2008-03,Canada,Gasoline stations with convenience stores [44711],84.6,NA,[44711]
2008-03,Canada,Other gasoline stations [44719],94.7,NA,[44719]
2008-03,Canada,Clothing and clothing accessories stores [448],101,NA,[448]
2008-03,Canada,Clothing stores [4481],99.6,NA,[4481]
2008-03,Canada,Men's clothing stores [44811],100.7,NA,[44811]
2008-03,Canada,Women's clothing stores [44812],99.1,NA,[44812]
2008-03,Canada,Family clothing stores [44814],100.8,NA,[44814]
2008-03,Canada,Other clothing stores [44819],103.2,NA,[44819]
2008-03,Canada,Shoe stores [4482],118.3,NA,[4482]
2008-03,Canada,Shoe stores [44821],118.3,NA,[44821]
2008-03,Canada,"Jewellery, luggage and leather goods stores [4483]",95.8,NA,[4483]
2008-03,Canada,Jewellery stores [44831],94.4,NA,[44831]
2008-03,Canada,Luggage and leather goods stores [44832],108.1,NA,[44832]
2008-03,Canada,"Sporting goods, hobby, book and music stores [451]",102.3,NA,[451]
2008-03,Canada,"Sporting goods, hobby and musical instrument stores [4511]",104.6,NA,[4511]
2008-03,Canada,Sporting goods stores [45111],101,NA,[45111]
2008-03,Canada,"Hobby, toy and game stores [45112]",118.9,NA,[45112]
2008-03,Canada,"Sewing, needlework and piece goods stores [45113]",88.8,NA,[45113]
2008-03,Canada,Musical instrument and supplies stores [45114],96.2,NA,[45114]
2008-03,Canada,Book stores and news dealers [4513],92.3,NA,[4513]
2008-03,Canada,Book stores and news dealers [45131],92.3,NA,[45131]
