REF_DATE,GEO,Client groups,VALUE,STATUS
2001-01,British Columbia,Business clients,70.6,NA
2001-01,Territories,"Total, all client groups",72.8,NA
2001-01,Territories,Leisure clients,75.8,NA
2001-01,Territories,Business clients,71.4,NA
2001-01,Yukon,"Total, all client groups",73.2,NA
2001-01,Yukon,Leisure clients,75.7,NA
2001-01,Yukon,Business clients,70.7,NA
2001-01,Northwest Territories,"Total, all client groups",78.8,NA
2001-01,Northwest Territories,Leisure clients,83.3,NA
2001-01,Northwest Territories,Business clients,77.4,NA
2001-01,Nunavut,"Total, all client groups",66.1,NA
2001-01,Nunavut,Leisure clients,66.7,NA
2001-01,Nunavut,Business clients,66.1,NA
2001-02,Canada,"Total, all client groups",76.1,NA
2001-02,Canada,Leisure clients,76.8,NA
2001-02,Canada,Business clients,73.8,NA
2001-02,Atlantic Region,"Total, all client groups",68.5,NA
2001-02,Atlantic Region,Leisure clients,68.3,NA
2001-02,Atlantic Region,Business clients,68.2,NA
2001-02,Newfoundland and Labrador,"Total, all client groups",64.7,NA
2001-02,Newfoundland and Labrador,Leisure clients,64,NA
2001-02,Newfoundland and Labrador,Business clients,64.9,NA
2001-02,Prince Edward Island,"Total, all client groups",64.9,NA
2001-02,Prince Edward Island,Leisure clients,61.5,NA
2001-02,Prince Edward Island,Business clients,70.2,NA
2001-02,Nova Scotia,"Total, all client groups",71.6,NA
2001-02,Nova Scotia,Leisure clients,76.2,NA
2001-02,Nova Scotia,Business clients,68.2,NA
2001-02,New Brunswick,"Total, all client groups",69.3,NA
2001-02,New Brunswick,Leisure clients,66.8,NA
2001-02,New Brunswick,Business clients,70.7,NA
2001-02,Quebec Region,"Total, all client groups",77.6,NA
2001-02,Quebec Region,Leisure clients,75.2,NA
2001-02,Quebec Region,Business clients,79.9,NA
2001-02,Quebec,"Total, all client groups",77.6,NA
2001-02,Quebec,Leisure clients,75.2,NA
2001-02,Quebec,Business clients,79.9,NA
2001-02,Ontario Region,"Total, all client groups",86.4,NA
2001-02,Ontario Region,Leisure clients,91.5,NA
2001-02,Ontario Region,Business clients,82.7,NA
2001-02,Ontario,"Total, all client groups",86.4,NA
2001-02,Ontario,Leisure clients,91.5,NA
2001-02,Ontario,Business clients,82.7,NA
2001-02,Prairie Region,"Total, all client groups",64.3,NA
2001-02,Prairie Region,Leisure clients,65.7,NA
2001-02,Prairie Region,Business clients,61,NA
2001-02,Manitoba,"Total, all client groups",70.9,NA
2001-02,Manitoba,Leisure clients,69,NA
2001-02,Manitoba,Business clients,72.2,NA
2001-02,Saskatchewan,"Total, all client groups",56.6,NA
2001-02,Saskatchewan,Leisure clients,57.8,NA
2001-02,Saskatchewan,Business clients,55.7,NA
2001-02,Alberta,"Total, all client groups",64.9,NA
2001-02,Alberta,Leisure clients,67.4,NA
2001-02,Alberta,Business clients,60.8,NA
2001-02,British Columbia Region,"Total, all client groups",74.2,NA
2001-02,British Columbia Region,Leisure clients,72.1,NA
2001-02,British Columbia Region,Business clients,74.3,NA
2001-02,British Columbia,"Total, all client groups",74.2,NA
2001-02,British Columbia,Leisure clients,72.1,NA
2001-02,British Columbia,Business clients,74.3,NA
2001-02,Territories,"Total, all client groups",74.7,NA
2001-02,Territories,Leisure clients,81,NA
2001-02,Territories,Business clients,71.4,NA
2001-02,Yukon,"Total, all client groups",76.4,NA
2001-02,Yukon,Leisure clients,81.8,NA
2001-02,Yukon,Business clients,71.1,NA
2001-02,Northwest Territories,"Total, all client groups",79.7,NA
2001-02,Northwest Territories,Leisure clients,88.6,NA
2001-02,Northwest Territories,Business clients,77.1,NA
2001-02,Nunavut,"Total, all client groups",66.1,NA
2001-02,Nunavut,Leisure clients,66.7,NA
2001-02,Nunavut,Business clients,66.1,NA
2001-03,Canada,"Total, all client groups",76,NA
2001-03,Canada,Leisure clients,76.1,NA
2001-03,Canada,Business clients,74.3,NA
2001-03,Atlantic Region,"Total, all client groups",69.6,NA
2001-03,Atlantic Region,Leisure clients,67.9,NA
2001-03,Atlantic Region,Business clients,70.3,NA
2001-03,Newfoundland and Labrador,"Total, all client groups",64.9,NA
2001-03,Newfoundland and Labrador,Leisure clients,62.9,NA
2001-03,Newfoundland and Labrador,Business clients,65.7,NA
2001-03,Prince Edward Island,"Total, all client groups",65.9,NA
2001-03,Prince Edward Island,Leisure clients,63.1,NA
2001-03,Prince Edward Island,Business clients,70.2,NA
2001-03,Nova Scotia,"Total, all client groups",72.5,NA
2001-03,Nova Scotia,Leisure clients,72.3,NA
2001-03,Nova Scotia,Business clients,72.3,NA
2001-03,New Brunswick,"Total, all client groups",71.3,NA
2001-03,New Brunswick,Leisure clients,69.5,NA
2001-03,New Brunswick,Business clients,72.3,NA
2001-03,Quebec Region,"Total, all client groups",76.8,NA
2001-03,Quebec Region,Leisure clients,74.4,NA
2001-03,Quebec Region,Business clients,78.5,NA
2001-03,Quebec,"Total, all client groups",76.8,NA
2001-03,Quebec,Leisure clients,74.4,NA
2001-03,Quebec,Business clients,78.5,NA
2001-03,Ontario Region,"Total, all client groups",84.7,NA
2001-03,Ontario Region,Leisure clients,88.4,NA
2001-03,Ontario Region,Business clients,82.2,NA
2001-03,Ontario,"Total, all client groups",84.7,NA
2001-03,Ontario,Leisure clients,88.4,NA
2001-03,Ontario,Business clients,82.2,NA
2001-03,Prairie Region,"Total, all client groups",63.9,NA
2001-03,Prairie Region,Leisure clients,65,NA
2001-03,Prairie Region,Business clients,61.1,NA
2001-03,Manitoba,"Total, all client groups",71.8,NA
2001-03,Manitoba,Leisure clients,69.2,NA
2001-03,Manitoba,Business clients,73.7,NA
2001-03,Saskatchewan,"Total, all client groups",56.6,NA
2001-03,Saskatchewan,Leisure clients,57.5,NA
2001-03,Saskatchewan,Business clients,55.9,NA
2001-03,Alberta,"Total, all client groups",64.2,NA
2001-03,Alberta,Leisure clients,66.3,NA
2001-03,Alberta,Business clients,60.7,NA
2001-03,British Columbia Region,"Total, all client groups",77.7,NA
2001-03,British Columbia Region,Leisure clients,74.8,NA
2001-03,British Columbia Region,Business clients,78.3,NA
2001-03,British Columbia,"Total, all client groups",77.7,NA
2001-03,British Columbia,Leisure clients,74.8,NA
2001-03,British Columbia,Business clients,78.3,NA
2001-03,Territories,"Total, all client groups",74.5,NA
2001-03,Territories,Leisure clients,80.8,NA
2001-03,Territories,Business clients,71.3,NA
2001-03,Yukon,"Total, all client groups",76.1,NA
2001-03,Yukon,Leisure clients,81.6,NA
2001-03,Yukon,Business clients,70.7,NA
2001-03,Northwest Territories,"Total, all client groups",79.6,NA
2001-03,Northwest Territories,Leisure clients,88.2,NA
2001-03,Northwest Territories,Business clients,77.1,NA
2001-03,Nunavut,"Total, all client groups",66.3,NA
2001-03,Nunavut,Leisure clients,66.7,NA
2001-03,Nunavut,Business clients,66.3,NA
2001-04,Canada,"Total, all client groups",77.1,NA
2001-04,Canada,Leisure clients,78.4,NA
2001-04,Canada,Business clients,74.5,NA
2001-04,Atlantic Region,"Total, all client groups",73.8,NA
2001-04,Atlantic Region,Leisure clients,71.2,NA
2001-04,Atlantic Region,Business clients,74.9,NA
2001-04,Newfoundland and Labrador,"Total, all client groups",64.4,NA
2001-04,Newfoundland and Labrador,Leisure clients,59.7,NA
2001-04,Newfoundland and Labrador,Business clients,66.5,NA
2001-04,Prince Edward Island,"Total, all client groups",65.8,NA
2001-04,Prince Edward Island,Leisure clients,63,NA
2001-04,Prince Edward Island,Business clients,70.2,NA
2001-04,Nova Scotia,"Total, all client groups",84.2,NA
2001-04,Nova Scotia,Leisure clients,80.2,NA
2001-04,Nova Scotia,Business clients,86.4,NA
2001-04,New Brunswick,"Total, all client groups",73.3,NA
2001-04,New Brunswick,Leisure clients,74.3,NA
2001-04,New Brunswick,Business clients,72.6,NA
2001-04,Quebec Region,"Total, all client groups",76.7,NA
2001-04,Quebec Region,Leisure clients,72.1,NA
2001-04,Quebec Region,Business clients,79.5,NA
2001-04,Quebec,"Total, all client groups",76.7,NA
2001-04,Quebec,Leisure clients,72.1,NA
2001-04,Quebec,Business clients,79.5,NA
2001-04,Ontario Region,"Total, all client groups",89.6,NA
2001-04,Ontario Region,Leisure clients,97.4,NA
2001-04,Ontario Region,Business clients,84,NA
2001-04,Ontario,"Total, all client groups",89.6,NA
2001-04,Ontario,Leisure clients,97.4,NA
2001-04,Ontario,Business clients,84,NA
2001-04,Prairie Region,"Total, all client groups",63.2,NA
2001-04,Prairie Region,Leisure clients,65,NA
2001-04,Prairie Region,Business clients,60.8,NA
2001-04,Manitoba,"Total, all client groups",70.1,NA
2001-04,Manitoba,Leisure clients,68.1,NA
2001-04,Manitoba,Business clients,71.5,NA
2001-04,Saskatchewan,"Total, all client groups",56.7,NA
2001-04,Saskatchewan,Leisure clients,56.9,NA
2001-04,Saskatchewan,Business clients,56.4,NA
2001-04,Alberta,"Total, all client groups",63.6,NA
2001-04,Alberta,Leisure clients,66.8,NA
2001-04,Alberta,Business clients,60.4,NA
2001-04,British Columbia Region,"Total, all client groups",74.2,NA
2001-04,British Columbia Region,Leisure clients,73.6,NA
2001-04,British Columbia Region,Business clients,73.4,NA
2001-04,British Columbia,"Total, all client groups",74.2,NA
2001-04,British Columbia,Leisure clients,73.6,NA
2001-04,British Columbia,Business clients,73.4,NA
2001-04,Territories,"Total, all client groups",77.7,NA
2001-04,Territories,Leisure clients,82.4,NA
2001-04,Territories,Business clients,75.3,NA
2001-04,Yukon,"Total, all client groups",83.5,NA
2001-04,Yukon,Leisure clients,85,NA
2001-04,Yukon,Business clients,81.9,NA
2001-04,Northwest Territories,"Total, all client groups",77.6,NA
2001-04,Northwest Territories,Leisure clients,83.4,NA
2001-04,Northwest Territories,Business clients,75.8,NA
2001-04,Nunavut,"Total, all client groups",65.5,NA
2001-04,Nunavut,Leisure clients,64.6,NA
2001-04,Nunavut,Business clients,65.7,NA
2001-05,Canada,"Total, all client groups",82.6,NA
2001-05,Canada,Leisure clients,84.1,NA
2001-05,Canada,Business clients,79,NA
2001-05,Atlantic Region,"Total, all client groups",76.2,NA
2001-05,Atlantic Region,Leisure clients,74.6,NA
2001-05,Atlantic Region,Business clients,76.7,NA
2001-05,Newfoundland and Labrador,"Total, all client groups",65.7,NA
2001-05,Newfoundland and Labrador,Leisure clients,60,NA
2001-05,Newfoundland and Labrador,Business clients,68.4,NA
2001-05,Prince Edward Island,"Total, all client groups",79.4,NA
2001-05,Prince Edward Island,Leisure clients,80.3,NA
2001-05,Prince Edward Island,Business clients,77.2,NA
2001-05,Nova Scotia,"Total, all client groups",84.4,NA
2001-05,Nova Scotia,Leisure clients,79.5,NA
2001-05,Nova Scotia,Business clients,87.3,NA
2001-05,New Brunswick,"Total, all client groups",75.8,NA
2001-05,New Brunswick,Leisure clients,78.1,NA
2001-05,New Brunswick,Business clients,74.3,NA
2001-05,Quebec Region,"Total, all client groups",82.4,NA
2001-05,Quebec Region,Leisure clients,77.7,NA
2001-05,Quebec Region,Business clients,84.7,NA
2001-05,Quebec,"Total, all client groups",82.4,NA
2001-05,Quebec,Leisure clients,77.7,NA
2001-05,Quebec,Business clients,84.7,NA
2001-05,Ontario Region,"Total, all client groups",93.4,NA
2001-05,Ontario Region,Leisure clients,101.3,NA
2001-05,Ontario Region,Business clients,87.9,NA
2001-05,Ontario,"Total, all client groups",93.4,NA
2001-05,Ontario,Leisure clients,101.3,NA
2001-05,Ontario,Business clients,87.9,NA
2001-05,Prairie Region,"Total, all client groups",67.5,NA
2001-05,Prairie Region,Leisure clients,69.1,NA
2001-05,Prairie Region,Business clients,63.3,NA
2001-05,Manitoba,"Total, all client groups",71.8,NA
2001-05,Manitoba,Leisure clients,70.4,NA
2001-05,Manitoba,Business clients,72.7,NA
2001-05,Saskatchewan,"Total, all client groups",57.7,NA
2001-05,Saskatchewan,Leisure clients,60,NA
2001-05,Saskatchewan,Business clients,56.1,NA
2001-05,Alberta,"Total, all client groups",69.1,NA
2001-05,Alberta,Leisure clients,71.6,NA
2001-05,Alberta,Business clients,63.9,NA
2001-05,British Columbia Region,"Total, all client groups",85.3,NA
2001-05,British Columbia Region,Leisure clients,85.1,NA
2001-05,British Columbia Region,Business clients,83.2,NA
2001-05,British Columbia,"Total, all client groups",85.3,NA
2001-05,British Columbia,Leisure clients,85.1,NA
2001-05,British Columbia,Business clients,83.2,NA
2001-05,Territories,"Total, all client groups",79.1,NA
2001-05,Territories,Leisure clients,86.9,NA
2001-05,Territories,Business clients,75.1,NA
2001-05,Yukon,"Total, all client groups",84.7,NA
2001-05,Yukon,Leisure clients,89.6,NA
2001-05,Yukon,Business clients,79.7,NA
2001-05,Northwest Territories,"Total, all client groups",79.9,NA
2001-05,Northwest Territories,Leisure clients,89.5,NA
2001-05,Northwest Territories,Business clients,77.1,NA
2001-05,Nunavut,"Total, all client groups",66.6,NA
2001-05,Nunavut,Leisure clients,66.7,NA
2001-05,Nunavut,Business clients,66.7,NA
2001-06,Canada,"Total, all client groups",87.9,NA
2001-06,Canada,Leisure clients,88.3,NA
2001-06,Canada,Business clients,83.8,NA
2001-06,Atlantic Region,"Total, all client groups",84,NA
2001-06,Atlantic Region,Leisure clients,87.4,NA
2001-06,Atlantic Region,Business clients,81.2,NA
2001-06,Newfoundland and Labrador,"Total, all client groups",76.7,NA
2001-06,Newfoundland and Labrador,Leisure clients,79.5,NA
2001-06,Newfoundland and Labrador,Business clients,75.1,NA
2001-06,Prince Edward Island,"Total, all client groups",92.4,NA
2001-06,Prince Edward Island,Leisure clients,90.4,NA
2001-06,Prince Edward Island,Business clients,95,NA
2001-06,Nova Scotia,"Total, all client groups",92.3,NA
2001-06,Nova Scotia,Leisure clients,95.5,NA
2001-06,Nova Scotia,Business clients,89.7,NA
2001-06,New Brunswick,"Total, all client groups",79.8,NA
2001-06,New Brunswick,Leisure clients,84.2,NA
2001-06,New Brunswick,Business clients,77.2,NA
2001-06,Quebec Region,"Total, all client groups",89.2,NA
2001-06,Quebec Region,Leisure clients,83.2,NA
2001-06,Quebec Region,Business clients,92.3,NA
2001-06,Quebec,"Total, all client groups",89.2,NA
2001-06,Quebec,Leisure clients,83.2,NA
2001-06,Quebec,Business clients,92.3,NA
2001-06,Ontario Region,"Total, all client groups",94.1,NA
2001-06,Ontario Region,Leisure clients,100.4,NA
2001-06,Ontario Region,Business clients,89.4,NA
2001-06,Ontario,"Total, all client groups",94.1,NA
