REF_DATE,GEO,Price index,VALUE,STATUS
2002-01,Nova Scotia,Commercial seed and plant,85.5,NA
2002-01,Nova Scotia,Fertilizer,45.6,NA
2002-01,Nova Scotia,Nitrogen fertilizers,63.7,NA
2002-01,Nova Scotia,Production insurance,34.3,NA
2002-01,Nova Scotia,Stabilization premiums,34.3,NA
2002-01,Nova Scotia,Animal production,72.9,NA
2002-01,Nova Scotia,Livestock purchases,86.1,NA
2002-01,Nova Scotia,Cattle,89.4,NA
2002-01,Nova Scotia,Hogs,103.2,NA
2002-01,Nova Scotia,Commercial feed,68.2,NA
2002-01,Nova Scotia,Prepared feed,69.1,NA
2002-01,Nova Scotia,Grain feed,61.1,NA
2002-01,New Brunswick,Farm input total,69.2,NA
2002-01,New Brunswick,Buildings,68.6,NA
2002-01,New Brunswick,Machinery and motor vehicles,66.8,NA
2002-01,New Brunswick,Depreciation on machinery and motor vehicles,91.7,NA
2002-01,New Brunswick,Depreciation on machinery,88.9,NA
2002-01,New Brunswick,Depreciation on motor vehicles,109.7,NA
2002-01,New Brunswick,Machinery fuel,40,NA
2002-01,New Brunswick,Machine repairs,82.2,NA
2002-01,New Brunswick,General business costs,85.6,NA
2002-01,New Brunswick,Crop production,64.2,NA
2002-01,New Brunswick,Commercial seed and plant,87.6,NA
2002-01,New Brunswick,Fertilizer,45.5,NA
2002-01,New Brunswick,Nitrogen fertilizers,62.9,NA
2002-01,New Brunswick,Production insurance,20.1,NA
2002-01,New Brunswick,Animal production,70.2,NA
2002-01,New Brunswick,Livestock purchases,88,NA
2002-01,New Brunswick,Cattle,88.5,NA
2002-01,New Brunswick,Hogs,102.4,NA
2002-01,New Brunswick,Commercial feed,64.2,NA
2002-01,New Brunswick,Prepared feed,65.3,NA
2002-01,New Brunswick,Grain feed,55.9,NA
2002-01,Quebec,Farm input total,72.8,NA
2002-01,Quebec,Buildings,74.4,NA
2002-01,Quebec,Machinery and motor vehicles,64.8,NA
2002-01,Quebec,Depreciation on machinery and motor vehicles,91,NA
2002-01,Quebec,Depreciation on machinery,89.1,NA
2002-01,Quebec,Depreciation on motor vehicles,108.8,NA
2002-01,Quebec,Machinery fuel,34.7,NA
2002-01,Quebec,Machine repairs,82.2,NA
2002-01,Quebec,General business costs,89.1,NA
2002-01,Quebec,Crop production,65.1,NA
