REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2008-01,Canada,Non-alcoholic beverage merchant wholesalers [41321],80.2,NA,[41321]
2008-01,Canada,Alcoholic beverage merchant wholesalers [41322],98.8,NA,[41322]
2008-01,Canada,Cigarette and tobacco product merchant wholesalers [4133],89.5,NA,[4133]
2008-01,Canada,Cigarette and tobacco product merchant wholesalers [41331],89.5,NA,[41331]
2008-01,Canada,Personal and household goods merchant wholesalers [414],97.7,NA,[414]
2008-01,Canada,"Textile, clothing and footwear merchant wholesalers [4141]",100,NA,[4141]
2008-01,Canada,Clothing and clothing accessories merchant wholesalers [41411],100.2,NA,[41411]
2008-01,Canada,Footwear merchant wholesalers [41412],116.4,NA,[41412]
2008-01,Canada,"Piece goods, notions and other dry goods merchant wholesalers [41413]",82.1,NA,[41413]
2008-01,Canada,Home entertainment equipment and household appliance merchant wholesalers [4142],118,NA,[4142]
2008-01,Canada,Home entertainment equipment merchant wholesalers [41421],141.7,NA,[41421]
2008-01,Canada,Household appliance merchant wholesalers [41422],101.3,NA,[41422]
2008-01,Canada,Home furnishings merchant wholesalers [4143],107.9,NA,[4143]
2008-01,Canada,"China, glassware, crockery and pottery merchant wholesalers [41431]",109.4,NA,[41431]
2008-01,Canada,Floor covering merchant wholesalers [41432],98.2,NA,[41432]
2008-01,Canada,"Linen, drapery and other textile furnishings merchant wholesalers [41433]",97.5,NA,[41433]
2008-01,Canada,Other home furnishings merchant wholesalers [41439],118.8,NA,[41439]
2008-01,Canada,Personal goods merchant wholesalers [4144],89.6,NA,[4144]
2008-01,Canada,Jewellery and watch merchant wholesalers [41441],103.1,NA,[41441]
2008-01,Canada,"Book, periodical and newspaper merchant wholesalers [41442]",64.5,NA,[41442]
2008-01,Canada,Photographic equipment and supplies merchant wholesalers [41443],126.7,NA,[41443]
2008-01,Canada,Sound recording merchant wholesalers [41444],89.5,NA,[41444]
2008-01,Canada,Video recording merchant wholesalers [41445],107.9,NA,[41445]
2008-01,Canada,Toy and hobby goods merchant wholesalers [41446],82.2,NA,[41446]
2008-01,Canada,Amusement and sporting goods merchant wholesalers [41447],97.8,NA,[41447]
2008-01,Canada,"Pharmaceuticals, toiletries, cosmetics and sundries merchant wholesalers [4145]",95.3,NA,[4145]
2008-01,Canada,Pharmaceuticals and pharmacy supplies merchant wholesalers [41451],95.7,NA,[41451]
2008-01,Canada,"Toiletries, cosmetics and sundries merchant wholesalers [41452]",94.6,NA,[41452]
2008-01,Canada,Motor vehicle and motor vehicle parts and accessories merchant wholesalers [415],91.5,NA,[415]
2008-01,Canada,Motor vehicle merchant wholesalers [4151],100,NA,[4151]
2008-01,Canada,New and used automobile and light-duty truck merchant wholesalers [41511],94.3,NA,[41511]
2008-01,Canada,"Truck, truck tractor and bus merchant wholesalers [41512]",129.9,NA,[41512]
2008-01,Canada,Recreational and other motor vehicles merchant wholesalers [41519],95.8,NA,[41519]
2008-01,Canada,New motor vehicle parts and accessories merchant wholesalers [4152],82.9,NA,[4152]
2008-01,Canada,Tire merchant wholesalers [41521],82,NA,[41521]
2008-01,Canada,Other new motor vehicle parts and accessories merchant wholesalers [41529],83.1,NA,[41529]
2008-01,Canada,Used motor vehicle parts and accessories merchant wholesalers [4153],71,NA,[4153]
2008-01,Canada,Used motor vehicle parts and accessories merchant wholesalers [41531],71,NA,[41531]
2008-01,Canada,Building material and supplies merchant wholesalers [416],99,NA,[416]
2008-01,Canada,"Electrical, plumbing, heating and air-conditioning equipment and supplies merchant wholesalers [4161]",94.7,NA,[4161]
2008-01,Canada,Electrical wiring and construction supplies merchant wholesalers [41611],97.2,NA,[41611]
2008-01,Canada,"Plumbing, heating and air-conditioning equipment and supplies merchant wholesalers [41612]",92.3,NA,[41612]
2008-01,Canada,Metal service centres [4162],107.5,NA,[4162]
2008-01,Canada,Metal service centres [41621],107.5,NA,[41621]
2008-01,Canada,"Lumber, millwork, hardware and other building supplies merchant wholesalers [4163]",98.8,NA,[4163]
2008-01,Canada,General-line building supplies merchant wholesalers [41631],96.4,NA,[41631]
2008-01,Canada,"Lumber, plywood and millwork merchant wholesalers [41632]",74.2,NA,[41632]
2008-01,Canada,Hardware merchant wholesalers [41633],113.9,NA,[41633]
2008-01,Canada,"Paint, glass and wallpaper merchant wholesalers [41634]",83.5,NA,[41634]
2008-01,Canada,Other specialty-line building supplies merchant wholesalers [41639],117.6,NA,[41639]
2008-01,Canada,"Machinery, equipment and supplies merchant wholesalers [417]",98.4,NA,[417]
2008-01,Canada,"Farm, lawn and garden machinery and equipment merchant wholesalers [4171]",91,NA,[4171]
2008-01,Canada,"Farm, lawn and garden machinery and equipment merchant wholesalers [41711]",91,NA,[41711]
2008-01,Canada,"Construction, forestry, mining, and industrial machinery, equipment and supplies merchant wholesalers [4172]",94.6,NA,[4172]
2008-01,Canada,"Construction and forestry machinery, equipment and supplies merchant wholesalers [41721]",98.1,NA,[41721]
2008-01,Canada,"Mining and oil and gas well machinery, equipment and supplies merchant wholesalers [41722]",86.5,NA,[41722]
2008-01,Canada,"Industrial machinery, equipment and supplies merchant wholesalers [41723]",96.2,NA,[41723]
2008-01,Canada,Computer and communications equipment and supplies merchant wholesalers [4173],91.7,NA,[4173]
2008-01,Canada,"Computer, computer peripheral and pre-packaged software merchant wholesalers [41731]",112.7,NA,[41731]
2008-01,Canada,"Electronic components, navigational and communications equipment and supplies merchant wholesalers [41732]",65.7,NA,[41732]
2008-01,Canada,"Other machinery, equipment and supplies merchant wholesalers [4179]",111.3,NA,[4179]
2008-01,Canada,Office and store machinery and equipment merchant wholesalers [41791],109.9,NA,[41791]
2008-01,Canada,"Service establishment machinery, equipment and supplies merchant wholesalers [41792]",98.7,NA,[41792]
2008-01,Canada,"Professional machinery, equipment and supplies merchant wholesalers [41793]",125.7,NA,[41793]
2008-01,Canada,"All other machinery, equipment and supplies merchant wholesalers [41799]",84.4,NA,[41799]
2008-01,Canada,Miscellaneous merchant wholesalers [418],88.1,NA,[418]
2008-01,Canada,Recyclable material merchant wholesalers [4181],90.9,NA,[4181]
2008-01,Canada,Recyclable metal merchant wholesalers [41811],86.4,NA,[41811]
2008-01,Canada,Recyclable paper and paperboard merchant wholesalers [41812],131.3,NA,[41812]
2008-01,Canada,Other recyclable material merchant wholesalers [41819],71.7,NA,[41819]
2008-01,Canada,"Paper, paper product and disposable plastic product merchant wholesalers [4182]",89.6,NA,[4182]
2008-01,Canada,Stationery and office supplies merchant wholesalers [41821],83.3,NA,[41821]
2008-01,Canada,Other paper and disposable plastic product merchant wholesalers [41822],100.3,NA,[41822]
2008-01,Canada,Agricultural supplies merchant wholesalers [4183],106,NA,[4183]
2008-01,Canada,Agricultural feed merchant wholesalers [41831],81.2,NA,[41831]
2008-01,Canada,Seed merchant wholesalers [41832],107.7,NA,[41832]
2008-01,Canada,Agricultural chemical and other farm supplies merchant wholesalers [41839],111.4,NA,[41839]
2008-01,Canada,Chemical (except agricultural) and allied product merchant wholesalers [4184],57.8,NA,[4184]
2008-01,Canada,Chemical (except agricultural) and allied product merchant wholesalers [41841],57.8,NA,[41841]
2008-01,Canada,Other miscellaneous merchant wholesalers [4189],102.9,NA,[4189]
2008-01,Canada,Log and wood chip merchant wholesalers [41891],94.5,NA,[41891]
2008-01,Canada,"Mineral, ore and precious metal merchant wholesalers [41892]",117.1,NA,[41892]
2008-01,Canada,Second-hand goods (except machinery and automotive) merchant wholesalers [41893],136.1,NA,[41893]
2008-01,Canada,All other merchant wholesalers [41899],101.8,NA,[41899]
2008-04,Canada,Wholesale trade [41],97.3,NA,[41]
2008-04,Canada,Farm product merchant wholesalers [411],115.2,NA,[411]
2008-04,Canada,Farm product merchant wholesalers [4111],115.2,NA,[4111]
2008-04,Canada,Live animal merchant wholesalers [41111],77.4,NA,[41111]
2008-04,Canada,Oilseed and grain merchant wholesalers [41112],123.8,NA,[41112]
2008-04,Canada,Nursery stock and plant merchant wholesalers [41113],92.2,NA,[41113]
2008-04,Canada,Other farm product merchant wholesalers [41119],140.3,NA,[41119]
2008-04,Canada,Petroleum and petroleum products merchant wholesalers [412],113,NA,[412]
2008-04,Canada,Petroleum and petroleum products merchant wholesalers [4121],113,NA,[4121]
2008-04,Canada,Petroleum and petroleum products merchant wholesalers [41211],113,NA,[41211]
2008-04,Canada,"Food, beverage and tobacco merchant wholesalers [413]",88.3,NA,[413]
2008-04,Canada,Food merchant wholesalers [4131],87.6,NA,[4131]
2008-04,Canada,General-line food merchant wholesalers [41311],95.9,NA,[41311]
2008-04,Canada,Dairy and milk products merchant wholesalers [41312],94.8,NA,[41312]
2008-04,Canada,Poultry and egg merchant wholesalers [41313],84.6,NA,[41313]
2008-04,Canada,Fish and seafood product merchant wholesalers [41314],79.2,NA,[41314]
2008-04,Canada,Fresh fruit and vegetable merchant wholesalers [41315],131.1,NA,[41315]
2008-04,Canada,Red meat and meat product merchant wholesalers [41316],104.7,NA,[41316]
2008-04,Canada,Other specialty-line food merchant wholesalers [41319],73.8,NA,[41319]
2008-04,Canada,Beverage merchant wholesalers [4132],94,NA,[4132]
2008-04,Canada,Non-alcoholic beverage merchant wholesalers [41321],81.8,NA,[41321]
2008-04,Canada,Alcoholic beverage merchant wholesalers [41322],98.8,NA,[41322]
2008-04,Canada,Cigarette and tobacco product merchant wholesalers [4133],89.3,NA,[4133]
2008-04,Canada,Cigarette and tobacco product merchant wholesalers [41331],89.3,NA,[41331]
2008-04,Canada,Personal and household goods merchant wholesalers [414],99.8,NA,[414]
2008-04,Canada,"Textile, clothing and footwear merchant wholesalers [4141]",99.5,NA,[4141]
2008-04,Canada,Clothing and clothing accessories merchant wholesalers [41411],100.6,NA,[41411]
2008-04,Canada,Footwear merchant wholesalers [41412],112.4,NA,[41412]
2008-04,Canada,"Piece goods, notions and other dry goods merchant wholesalers [41413]",80.2,NA,[41413]
2008-04,Canada,Home entertainment equipment and household appliance merchant wholesalers [4142],122.2,NA,[4142]
2008-04,Canada,Home entertainment equipment merchant wholesalers [41421],158.8,NA,[41421]
2008-04,Canada,Household appliance merchant wholesalers [41422],96.3,NA,[41422]
