REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2009-04,Canada,Specialized freight trucking [4842],91.5,NA,[4842]
2009-04,Canada,Used household and office goods moving [48421],94.8,NA,[48421]
2009-04,Canada,"Specialized freight (except used goods) trucking, local [48422]",94.9,NA,[48422]
2009-04,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",88.8,NA,[48423]
2009-07,Canada,Truck transportation [484],90.6,NA,[484]
2009-07,Canada,General freight trucking [4841],89.3,NA,[4841]
2009-07,Canada,"General freight trucking, local [48411]",84.7,NA,[48411]
2009-07,Canada,"General freight trucking, long distance [48412]",90.7,NA,[48412]
2009-07,Canada,Specialized freight trucking [4842],92.5,NA,[4842]
2009-07,Canada,Used household and office goods moving [48421],98.3,NA,[48421]
2009-07,Canada,"Specialized freight (except used goods) trucking, local [48422]",96,NA,[48422]
2009-07,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.5,NA,[48423]
2009-10,Canada,Truck transportation [484],90.9,NA,[484]
2009-10,Canada,General freight trucking [4841],89.5,NA,[4841]
2009-10,Canada,"General freight trucking, local [48411]",85.2,NA,[48411]
2009-10,Canada,"General freight trucking, long distance [48412]",90.9,NA,[48412]
2009-10,Canada,Specialized freight trucking [4842],92.8,NA,[4842]
2009-10,Canada,Used household and office goods moving [48421],95.1,NA,[48421]
2009-10,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.5,NA,[48422]
2009-10,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.6,NA,[48423]
2010-01,Canada,Truck transportation [484],91,NA,[484]
2010-01,Canada,General freight trucking [4841],90,NA,[4841]
2010-01,Canada,"General freight trucking, local [48411]",85.4,NA,[48411]
2010-01,Canada,"General freight trucking, long distance [48412]",91.5,NA,[48412]
2010-01,Canada,Specialized freight trucking [4842],92.5,NA,[4842]
2010-01,Canada,Used household and office goods moving [48421],95.6,NA,[48421]
2010-01,Canada,"Specialized freight (except used goods) trucking, local [48422]",96.2,NA,[48422]
2010-01,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.7,NA,[48423]
2010-04,Canada,Truck transportation [484],91.4,NA,[484]
2010-04,Canada,General freight trucking [4841],90.2,NA,[4841]
2010-04,Canada,"General freight trucking, local [48411]",85.8,NA,[48411]
2010-04,Canada,"General freight trucking, long distance [48412]",91.6,NA,[48412]
2010-04,Canada,Specialized freight trucking [4842],93.2,NA,[4842]
2010-04,Canada,Used household and office goods moving [48421],97.9,NA,[48421]
2010-04,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.2,NA,[48422]
2010-04,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.9,NA,[48423]
2010-07,Canada,Truck transportation [484],91.6,NA,[484]
2010-07,Canada,General freight trucking [4841],90.3,NA,[4841]
2010-07,Canada,"General freight trucking, local [48411]",87.2,NA,[48411]
2010-07,Canada,"General freight trucking, long distance [48412]",91.4,NA,[48412]
2010-07,Canada,Specialized freight trucking [4842],93.4,NA,[4842]
2010-07,Canada,Used household and office goods moving [48421],100.3,NA,[48421]
2010-07,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.1,NA,[48422]
