REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2007-10,Canada,Specialized freight trucking [4842],92.2,NA,[4842]
2007-10,Canada,Used household and office goods moving [48421],91,NA,[48421]
2007-10,Canada,"Specialized freight (except used goods) trucking, local [48422]",95.8,NA,[48422]
2007-10,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",90.1,NA,[48423]
2007-11,Canada,Truck transportation [484],91.8,NA,[484]
2007-11,Canada,General freight trucking [4841],91.4,NA,[4841]
2007-11,Canada,"General freight trucking, local [48411]",88.3,NA,[48411]
2007-11,Canada,"General freight trucking, long distance [48412]",92.3,NA,[48412]
2007-11,Canada,Specialized freight trucking [4842],92.5,NA,[4842]
2007-11,Canada,Used household and office goods moving [48421],90.9,NA,[48421]
2007-11,Canada,"Specialized freight (except used goods) trucking, local [48422]",96.1,NA,[48422]
2007-11,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",90.4,NA,[48423]
2007-12,Canada,Truck transportation [484],92.7,NA,[484]
2007-12,Canada,General freight trucking [4841],92.4,NA,[4841]
2007-12,Canada,"General freight trucking, local [48411]",89.5,NA,[48411]
2007-12,Canada,"General freight trucking, long distance [48412]",93.3,NA,[48412]
2007-12,Canada,Specialized freight trucking [4842],93.2,NA,[4842]
2007-12,Canada,Used household and office goods moving [48421],90.6,NA,[48421]
2007-12,Canada,"Specialized freight (except used goods) trucking, local [48422]",96.5,NA,[48422]
2007-12,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",91.6,NA,[48423]
2008-01,Canada,Truck transportation [484],94.3,NA,[484]
2008-01,Canada,General freight trucking [4841],94,NA,[4841]
2008-01,Canada,"General freight trucking, local [48411]",92,NA,[48411]
2008-01,Canada,"General freight trucking, long distance [48412]",94.7,NA,[48412]
2008-01,Canada,Specialized freight trucking [4842],94.6,NA,[4842]
2008-01,Canada,Used household and office goods moving [48421],92.3,NA,[48421]
2008-01,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.1,NA,[48422]
2008-01,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",93.4,NA,[48423]
2008-02,Canada,Truck transportation [484],94.4,NA,[484]
2008-02,Canada,General freight trucking [4841],94.1,NA,[4841]
2008-02,Canada,"General freight trucking, local [48411]",91.8,NA,[48411]
2008-02,Canada,"General freight trucking, long distance [48412]",94.9,NA,[48412]
2008-02,Canada,Specialized freight trucking [4842],94.9,NA,[4842]
2008-02,Canada,Used household and office goods moving [48421],92.3,NA,[48421]
2008-02,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.1,NA,[48422]
2008-02,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",93.9,NA,[48423]
2008-03,Canada,Truck transportation [484],95.6,NA,[484]
2008-03,Canada,General freight trucking [4841],95.6,NA,[4841]
2008-03,Canada,"General freight trucking, local [48411]",93.4,NA,[48411]
2008-03,Canada,"General freight trucking, long distance [48412]",96.4,NA,[48412]
2008-03,Canada,Specialized freight trucking [4842],95.6,NA,[4842]
2008-03,Canada,Used household and office goods moving [48421],92.3,NA,[48421]
2008-03,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.4,NA,[48422]
2008-03,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",94.9,NA,[48423]
2008-04,Canada,Truck transportation [484],97.6,NA,[484]
2008-04,Canada,General freight trucking [4841],97.6,NA,[4841]
2008-04,Canada,"General freight trucking, local [48411]",95.5,NA,[48411]
2008-04,Canada,"General freight trucking, long distance [48412]",98.3,NA,[48412]
2008-04,Canada,Specialized freight trucking [4842],97.5,NA,[4842]
2008-04,Canada,Used household and office goods moving [48421],91.9,NA,[48421]
2008-04,Canada,"Specialized freight (except used goods) trucking, local [48422]",99,NA,[48422]
2008-04,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",97.5,NA,[48423]
2008-05,Canada,Truck transportation [484],98.7,NA,[484]
2008-05,Canada,General freight trucking [4841],98.6,NA,[4841]
2008-05,Canada,"General freight trucking, local [48411]",96.5,NA,[48411]
2008-05,Canada,"General freight trucking, long distance [48412]",99.3,NA,[48412]
2008-05,Canada,Specialized freight trucking [4842],98.9,NA,[4842]
2008-05,Canada,Used household and office goods moving [48421],93.1,NA,[48421]
2008-05,Canada,"Specialized freight (except used goods) trucking, local [48422]",99.8,NA,[48422]
2008-05,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",99.2,NA,[48423]
2008-06,Canada,Truck transportation [484],100.5,NA,[484]
2008-06,Canada,General freight trucking [4841],100.5,NA,[4841]
2008-06,Canada,"General freight trucking, local [48411]",98.2,NA,[48411]
2008-06,Canada,"General freight trucking, long distance [48412]",101.2,NA,[48412]
2008-06,Canada,Specialized freight trucking [4842],100.6,NA,[4842]
2008-06,Canada,Used household and office goods moving [48421],95.3,NA,[48421]
2008-06,Canada,"Specialized freight (except used goods) trucking, local [48422]",101.5,NA,[48422]
2008-06,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",100.8,NA,[48423]
2008-07,Canada,Truck transportation [484],101.6,NA,[484]
2008-07,Canada,General freight trucking [4841],101.2,NA,[4841]
2008-07,Canada,"General freight trucking, local [48411]",98.3,NA,[48411]
2008-07,Canada,"General freight trucking, long distance [48412]",102.2,NA,[48412]
2008-07,Canada,Specialized freight trucking [4842],102,NA,[4842]
2008-07,Canada,Used household and office goods moving [48421],99.5,NA,[48421]
2008-07,Canada,"Specialized freight (except used goods) trucking, local [48422]",102.9,NA,[48422]
2008-07,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",101.9,NA,[48423]
2008-08,Canada,Truck transportation [484],101,NA,[484]
2008-08,Canada,General freight trucking [4841],100.1,NA,[4841]
2008-08,Canada,"General freight trucking, local [48411]",97.3,NA,[48411]
2008-08,Canada,"General freight trucking, long distance [48412]",100.9,NA,[48412]
2008-08,Canada,Specialized freight trucking [4842],102.3,NA,[4842]
2008-08,Canada,Used household and office goods moving [48421],99.5,NA,[48421]
2008-08,Canada,"Specialized freight (except used goods) trucking, local [48422]",104.1,NA,[48422]
2008-08,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",101.5,NA,[48423]
2008-09,Canada,Truck transportation [484],99.8,NA,[484]
2008-09,Canada,General freight trucking [4841],98.9,NA,[4841]
2008-09,Canada,"General freight trucking, local [48411]",95.7,NA,[48411]
2008-09,Canada,"General freight trucking, long distance [48412]",99.9,NA,[48412]
2008-09,Canada,Specialized freight trucking [4842],101.1,NA,[4842]
2008-09,Canada,Used household and office goods moving [48421],96,NA,[48421]
2008-09,Canada,"Specialized freight (except used goods) trucking, local [48422]",103.2,NA,[48422]
2008-09,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",100.4,NA,[48423]
2008-10,Canada,Truck transportation [484],97.5,NA,[484]
2008-10,Canada,General freight trucking [4841],96.6,NA,[4841]
2008-10,Canada,"General freight trucking, local [48411]",92.8,NA,[48411]
2008-10,Canada,"General freight trucking, long distance [48412]",97.8,NA,[48412]
2008-10,Canada,Specialized freight trucking [4842],98.9,NA,[4842]
2008-10,Canada,Used household and office goods moving [48421],94.3,NA,[48421]
2008-10,Canada,"Specialized freight (except used goods) trucking, local [48422]",100.3,NA,[48422]
2008-10,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",98.7,NA,[48423]
2008-11,Canada,Truck transportation [484],95.7,NA,[484]
2008-11,Canada,General freight trucking [4841],94.6,NA,[4841]
2008-11,Canada,"General freight trucking, local [48411]",90.6,NA,[48411]
2008-11,Canada,"General freight trucking, long distance [48412]",95.9,NA,[48412]
2008-11,Canada,Specialized freight trucking [4842],97.3,NA,[4842]
2008-11,Canada,Used household and office goods moving [48421],94.2,NA,[48421]
2008-11,Canada,"Specialized freight (except used goods) trucking, local [48422]",99.3,NA,[48422]
2008-11,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",96.4,NA,[48423]
2008-12,Canada,Truck transportation [484],93.8,NA,[484]
2008-12,Canada,General freight trucking [4841],92.5,NA,[4841]
2008-12,Canada,"General freight trucking, local [48411]",88.8,NA,[48411]
2008-12,Canada,"General freight trucking, long distance [48412]",93.7,NA,[48412]
2008-12,Canada,Specialized freight trucking [4842],95.5,NA,[4842]
2008-12,Canada,Used household and office goods moving [48421],93.7,NA,[48421]
2008-12,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.6,NA,[48422]
2008-12,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",94.5,NA,[48423]
2009-01,Canada,Truck transportation [484],91.5,NA,[484]
2009-01,Canada,General freight trucking [4841],90.5,NA,[4841]
2009-01,Canada,"General freight trucking, local [48411]",86.2,NA,[48411]
2009-01,Canada,"General freight trucking, long distance [48412]",91.8,NA,[48412]
2009-01,Canada,Specialized freight trucking [4842],93.1,NA,[4842]
2009-01,Canada,Used household and office goods moving [48421],91.4,NA,[48421]
2009-01,Canada,"Specialized freight (except used goods) trucking, local [48422]",96.3,NA,[48422]
2009-01,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",91.3,NA,[48423]
2009-02,Canada,Truck transportation [484],90.9,NA,[484]
2009-02,Canada,General freight trucking [4841],89.9,NA,[4841]
2009-02,Canada,"General freight trucking, local [48411]",85.5,NA,[48411]
2009-02,Canada,"General freight trucking, long distance [48412]",91.2,NA,[48412]
2009-02,Canada,Specialized freight trucking [4842],92.5,NA,[4842]
2009-02,Canada,Used household and office goods moving [48421],91.4,NA,[48421]
2009-02,Canada,"Specialized freight (except used goods) trucking, local [48422]",95.9,NA,[48422]
2009-02,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",90.5,NA,[48423]
2009-03,Canada,Truck transportation [484],90.2,NA,[484]
2009-03,Canada,General freight trucking [4841],89,NA,[4841]
2009-03,Canada,"General freight trucking, local [48411]",84.8,NA,[48411]
2009-03,Canada,"General freight trucking, long distance [48412]",90.4,NA,[48412]
2009-03,Canada,Specialized freight trucking [4842],91.8,NA,[4842]
2009-03,Canada,Used household and office goods moving [48421],91.1,NA,[48421]
2009-03,Canada,"Specialized freight (except used goods) trucking, local [48422]",95.6,NA,[48422]
2009-03,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.6,NA,[48423]
2009-04,Canada,Truck transportation [484],90,NA,[484]
2009-04,Canada,General freight trucking [4841],89,NA,[4841]
2009-04,Canada,"General freight trucking, local [48411]",83.7,NA,[48411]
2009-04,Canada,"General freight trucking, long distance [48412]",90.7,NA,[48412]
2009-04,Canada,Specialized freight trucking [4842],91.4,NA,[4842]
2009-04,Canada,Used household and office goods moving [48421],92.4,NA,[48421]
2009-04,Canada,"Specialized freight (except used goods) trucking, local [48422]",94.8,NA,[48422]
2009-04,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89,NA,[48423]
2009-05,Canada,Truck transportation [484],89.4,NA,[484]
2009-05,Canada,General freight trucking [4841],88,NA,[4841]
2009-05,Canada,"General freight trucking, local [48411]",83.5,NA,[48411]
2009-05,Canada,"General freight trucking, long distance [48412]",89.5,NA,[48412]
2009-05,Canada,Specialized freight trucking [4842],91.2,NA,[4842]
2009-05,Canada,Used household and office goods moving [48421],93.9,NA,[48421]
2009-05,Canada,"Specialized freight (except used goods) trucking, local [48422]",94.9,NA,[48422]
2009-05,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",88.6,NA,[48423]
2009-06,Canada,Truck transportation [484],89.9,NA,[484]
2009-06,Canada,General freight trucking [4841],88.6,NA,[4841]
2009-06,Canada,"General freight trucking, local [48411]",83.6,NA,[48411]
2009-06,Canada,"General freight trucking, long distance [48412]",90.2,NA,[48412]
2009-06,Canada,Specialized freight trucking [4842],91.9,NA,[4842]
2009-06,Canada,Used household and office goods moving [48421],98.3,NA,[48421]
2009-06,Canada,"Specialized freight (except used goods) trucking, local [48422]",95,NA,[48422]
2009-06,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",88.9,NA,[48423]
2009-07,Canada,Truck transportation [484],90.7,NA,[484]
2009-07,Canada,General freight trucking [4841],89.3,NA,[4841]
2009-07,Canada,"General freight trucking, local [48411]",84.3,NA,[48411]
2009-07,Canada,"General freight trucking, long distance [48412]",90.9,NA,[48412]
2009-07,Canada,Specialized freight trucking [4842],92.6,NA,[4842]
2009-07,Canada,Used household and office goods moving [48421],99.7,NA,[48421]
2009-07,Canada,"Specialized freight (except used goods) trucking, local [48422]",95.9,NA,[48422]
2009-07,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.5,NA,[48423]
2009-08,Canada,Truck transportation [484],90.6,NA,[484]
2009-08,Canada,General freight trucking [4841],89.2,NA,[4841]
2009-08,Canada,"General freight trucking, local [48411]",85,NA,[48411]
2009-08,Canada,"General freight trucking, long distance [48412]",90.6,NA,[48412]
2009-08,Canada,Specialized freight trucking [4842],92.6,NA,[4842]
2009-08,Canada,Used household and office goods moving [48421],99.7,NA,[48421]
2009-08,Canada,"Specialized freight (except used goods) trucking, local [48422]",96,NA,[48422]
2009-08,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.4,NA,[48423]
2009-09,Canada,Truck transportation [484],90.5,NA,[484]
2009-09,Canada,General freight trucking [4841],89.2,NA,[4841]
2009-09,Canada,"General freight trucking, local [48411]",84.7,NA,[48411]
2009-09,Canada,"General freight trucking, long distance [48412]",90.7,NA,[48412]
2009-09,Canada,Specialized freight trucking [4842],92.3,NA,[4842]
2009-09,Canada,Used household and office goods moving [48421],95.4,NA,[48421]
2009-09,Canada,"Specialized freight (except used goods) trucking, local [48422]",96,NA,[48422]
2009-09,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.6,NA,[48423]
2009-10,Canada,Truck transportation [484],90.5,NA,[484]
2009-10,Canada,General freight trucking [4841],89,NA,[4841]
2009-10,Canada,"General freight trucking, local [48411]",84.7,NA,[48411]
2009-10,Canada,"General freight trucking, long distance [48412]",90.4,NA,[48412]
2009-10,Canada,Specialized freight trucking [4842],92.6,NA,[4842]
2009-10,Canada,Used household and office goods moving [48421],95.1,NA,[48421]
2009-10,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.3,NA,[48422]
2009-10,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.2,NA,[48423]
2009-11,Canada,Truck transportation [484],91.1,NA,[484]
2009-11,Canada,General freight trucking [4841],89.9,NA,[4841]
2009-11,Canada,"General freight trucking, local [48411]",85.4,NA,[48411]
2009-11,Canada,"General freight trucking, long distance [48412]",91.3,NA,[48412]
2009-11,Canada,Specialized freight trucking [4842],92.9,NA,[4842]
2009-11,Canada,Used household and office goods moving [48421],95.1,NA,[48421]
2009-11,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.5,NA,[48422]
2009-11,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.6,NA,[48423]
2009-12,Canada,Truck transportation [484],91,NA,[484]
2009-12,Canada,General freight trucking [4841],89.6,NA,[4841]
2009-12,Canada,"General freight trucking, local [48411]",85.4,NA,[48411]
2009-12,Canada,"General freight trucking, long distance [48412]",90.9,NA,[48412]
2009-12,Canada,Specialized freight trucking [4842],93.1,NA,[4842]
2009-12,Canada,Used household and office goods moving [48421],95.2,NA,[48421]
2009-12,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.6,NA,[48422]
2009-12,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.8,NA,[48423]
2010-01,Canada,Truck transportation [484],90.9,NA,[484]
2010-01,Canada,General freight trucking [4841],89.8,NA,[4841]
2010-01,Canada,"General freight trucking, local [48411]",85,NA,[48411]
2010-01,Canada,"General freight trucking, long distance [48412]",91.3,NA,[48412]
2010-01,Canada,Specialized freight trucking [4842],92.5,NA,[4842]
2010-01,Canada,Used household and office goods moving [48421],95.5,NA,[48421]
2010-01,Canada,"Specialized freight (except used goods) trucking, local [48422]",96.2,NA,[48422]
2010-01,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.6,NA,[48423]
2010-02,Canada,Truck transportation [484],91.1,NA,[484]
2010-02,Canada,General freight trucking [4841],90.1,NA,[4841]
2010-02,Canada,"General freight trucking, local [48411]",85.7,NA,[48411]
2010-02,Canada,"General freight trucking, long distance [48412]",91.6,NA,[48412]
2010-02,Canada,Specialized freight trucking [4842],92.5,NA,[4842]
2010-02,Canada,Used household and office goods moving [48421],95.6,NA,[48421]
2010-02,Canada,"Specialized freight (except used goods) trucking, local [48422]",96.2,NA,[48422]
2010-02,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.7,NA,[48423]
2010-03,Canada,Truck transportation [484],91.1,NA,[484]
2010-03,Canada,General freight trucking [4841],90,NA,[4841]
2010-03,Canada,"General freight trucking, local [48411]",85.5,NA,[48411]
2010-03,Canada,"General freight trucking, long distance [48412]",91.5,NA,[48412]
2010-03,Canada,Specialized freight trucking [4842],92.5,NA,[4842]
2010-03,Canada,Used household and office goods moving [48421],95.6,NA,[48421]
2010-03,Canada,"Specialized freight (except used goods) trucking, local [48422]",96.2,NA,[48422]
2010-03,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.8,NA,[48423]
2010-04,Canada,Truck transportation [484],91.4,NA,[484]
2010-04,Canada,General freight trucking [4841],90.2,NA,[4841]
2010-04,Canada,"General freight trucking, local [48411]",85.8,NA,[48411]
2010-04,Canada,"General freight trucking, long distance [48412]",91.6,NA,[48412]
2010-04,Canada,Specialized freight trucking [4842],93,NA,[4842]
2010-04,Canada,Used household and office goods moving [48421],96.3,NA,[48421]
2010-04,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.3,NA,[48422]
2010-04,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.8,NA,[48423]
2010-05,Canada,Truck transportation [484],91.5,NA,[484]
2010-05,Canada,General freight trucking [4841],90.4,NA,[4841]
2010-05,Canada,"General freight trucking, local [48411]",86,NA,[48411]
2010-05,Canada,"General freight trucking, long distance [48412]",91.8,NA,[48412]
2010-05,Canada,Specialized freight trucking [4842],93.2,NA,[4842]
2010-05,Canada,Used household and office goods moving [48421],96.8,NA,[48421]
2010-05,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.2,NA,[48422]
2010-05,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",90.1,NA,[48423]
2010-06,Canada,Truck transportation [484],91.4,NA,[484]
2010-06,Canada,General freight trucking [4841],89.9,NA,[4841]
2010-06,Canada,"General freight trucking, local [48411]",85.8,NA,[48411]
2010-06,Canada,"General freight trucking, long distance [48412]",91.3,NA,[48412]
2010-06,Canada,Specialized freight trucking [4842],93.4,NA,[4842]
2010-06,Canada,Used household and office goods moving [48421],100.4,NA,[48421]
2010-06,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.1,NA,[48422]
2010-06,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.9,NA,[48423]
2010-07,Canada,Truck transportation [484],91.6,NA,[484]
2010-07,Canada,General freight trucking [4841],90.3,NA,[4841]
2010-07,Canada,"General freight trucking, local [48411]",87.2,NA,[48411]
2010-07,Canada,"General freight trucking, long distance [48412]",91.3,NA,[48412]
2010-07,Canada,Specialized freight trucking [4842],93.4,NA,[4842]
2010-07,Canada,Used household and office goods moving [48421],101,NA,[48421]
2010-07,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.1,NA,[48422]
2010-07,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.8,NA,[48423]
2010-08,Canada,Truck transportation [484],91.7,NA,[484]
2010-08,Canada,General freight trucking [4841],90.3,NA,[4841]
2010-08,Canada,"General freight trucking, local [48411]",87.2,NA,[48411]
2010-08,Canada,"General freight trucking, long distance [48412]",91.4,NA,[48412]
2010-08,Canada,Specialized freight trucking [4842],93.5,NA,[4842]
2010-08,Canada,Used household and office goods moving [48421],101.1,NA,[48421]
2010-08,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.1,NA,[48422]
2010-08,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",90.1,NA,[48423]
2010-09,Canada,Truck transportation [484],91.6,NA,[484]
2010-09,Canada,General freight trucking [4841],90.4,NA,[4841]
2010-09,Canada,"General freight trucking, local [48411]",87.2,NA,[48411]
2010-09,Canada,"General freight trucking, long distance [48412]",91.4,NA,[48412]
2010-09,Canada,Specialized freight trucking [4842],93.3,NA,[4842]
2010-09,Canada,Used household and office goods moving [48421],98.9,NA,[48421]
2010-09,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.2,NA,[48422]
2010-09,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",90,NA,[48423]
2010-10,Canada,Truck transportation [484],91.8,NA,[484]
2010-10,Canada,General freight trucking [4841],90.5,NA,[4841]
2010-10,Canada,"General freight trucking, local [48411]",87.7,NA,[48411]
2010-10,Canada,"General freight trucking, long distance [48412]",91.4,NA,[48412]
2010-10,Canada,Specialized freight trucking [4842],93.6,NA,[4842]
2010-10,Canada,Used household and office goods moving [48421],98.4,NA,[48421]
2010-10,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.9,NA,[48422]
2010-10,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",90.1,NA,[48423]
2010-11,Canada,Truck transportation [484],92.3,NA,[484]
2010-11,Canada,General freight trucking [4841],91.1,NA,[4841]
2010-11,Canada,"General freight trucking, local [48411]",88.4,NA,[48411]
2010-11,Canada,"General freight trucking, long distance [48412]",92,NA,[48412]
2010-11,Canada,Specialized freight trucking [4842],93.9,NA,[4842]
2010-11,Canada,Used household and office goods moving [48421],98.1,NA,[48421]
2010-11,Canada,"Specialized freight (except used goods) trucking, local [48422]",98.1,NA,[48422]
2010-11,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",90.6,NA,[48423]
2010-12,Canada,Truck transportation [484],92.9,NA,[484]
2010-12,Canada,General freight trucking [4841],91.9,NA,[4841]
2010-12,Canada,"General freight trucking, local [48411]",89.2,NA,[48411]
2010-12,Canada,"General freight trucking, long distance [48412]",92.7,NA,[48412]
2010-12,Canada,Specialized freight trucking [4842],94.3,NA,[4842]
2010-12,Canada,Used household and office goods moving [48421],98.3,NA,[48421]
2010-12,Canada,"Specialized freight (except used goods) trucking, local [48422]",98.2,NA,[48422]
2010-12,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",91.2,NA,[48423]
2011-01,Canada,Truck transportation [484],94.3,NA,[484]
