REF_DATE,GEO,Type of peripheral,VALUE,STATUS
2010-12,Canada,"Computer monitors, businesses and governments [36111231]",112.7,NA
2010-12,Canada,Computer printers [3611124],131.5,NA
2010-12,Canada,Inkjet printers [36111241],141.9,NA
2010-12,Canada,"Inkjet printers, businesses and governments [361112411]",142,NA
2010-12,Canada,Laser printers [36111242],121.6,NA
2010-12,Canada,"Laser printers, businesses and governments [361112421]",121.4,NA
2011-01,Canada,Computer monitors and computer printers [E12],127.1,NA
2011-01,Canada,Computer monitors [3611123],110.5,NA
2011-01,Canada,"Computer monitors, businesses and governments [36111231]",110.9,NA
2011-01,Canada,Computer printers [3611124],134,NA
2011-01,Canada,Inkjet printers [36111241],139.5,NA
2011-01,Canada,"Inkjet printers, businesses and governments [361112411]",139.6,NA
2011-01,Canada,Laser printers [36111242],128.3,NA
2011-01,Canada,"Laser printers, businesses and governments [361112421]",128.1,NA
2011-02,Canada,Computer monitors and computer printers [E12],122.2,NA
2011-02,Canada,Computer monitors [3611123],110.3,NA
2011-02,Canada,"Computer monitors, businesses and governments [36111231]",110.7,NA
2011-02,Canada,Computer printers [3611124],127.2,NA
2011-02,Canada,Inkjet printers [36111241],128.8,NA
2011-02,Canada,"Inkjet printers, businesses and governments [361112411]",128.9,NA
2011-02,Canada,Laser printers [36111242],124.9,NA
2011-02,Canada,"Laser printers, businesses and governments [361112421]",124.7,NA
2011-03,Canada,Computer monitors and computer printers [E12],121,NA
2011-03,Canada,Computer monitors [3611123],108.6,NA
2011-03,Canada,"Computer monitors, businesses and governments [36111231]",109,NA
2011-03,Canada,Computer printers [3611124],126.1,NA
2011-03,Canada,Inkjet printers [36111241],126.9,NA
2011-03,Canada,"Inkjet printers, businesses and governments [361112411]",127,NA
2011-03,Canada,Laser printers [36111242],124.4,NA
2011-03,Canada,"Laser printers, businesses and governments [361112421]",124.2,NA
2011-04,Canada,Computer monitors and computer printers [E12],119.4,NA
2011-04,Canada,Computer monitors [3611123],109.1,NA
2011-04,Canada,"Computer monitors, businesses and governments [36111231]",109.5,NA
2011-04,Canada,Computer printers [3611124],123.7,NA
2011-04,Canada,Inkjet printers [36111241],123.6,NA
2011-04,Canada,"Inkjet printers, businesses and governments [361112411]",123.7,NA
2011-04,Canada,Laser printers [36111242],122.9,NA
2011-04,Canada,"Laser printers, businesses and governments [361112421]",122.7,NA
2011-05,Canada,Computer monitors and computer printers [E12],118.8,NA
2011-05,Canada,Computer monitors [3611123],109.6,NA
2011-05,Canada,"Computer monitors, businesses and governments [36111231]",110,NA
2011-05,Canada,Computer printers [3611124],122.7,NA
2011-05,Canada,Inkjet printers [36111241],121.6,NA
2011-05,Canada,"Inkjet printers, businesses and governments [361112411]",121.7,NA
2011-05,Canada,Laser printers [36111242],122.6,NA
2011-05,Canada,"Laser printers, businesses and governments [361112421]",122.4,NA
2011-06,Canada,Computer monitors and computer printers [E12],118.9,NA
2011-06,Canada,Computer monitors [3611123],111.3,NA
2011-06,Canada,"Computer monitors, businesses and governments [36111231]",111.7,NA
2011-06,Canada,Computer printers [3611124],122.1,NA
2011-06,Canada,Inkjet printers [36111241],119.3,NA
2011-06,Canada,"Inkjet printers, businesses and governments [361112411]",119.4,NA
2011-06,Canada,Laser printers [36111242],123.5,NA
2011-06,Canada,"Laser printers, businesses and governments [361112421]",123.3,NA
2011-07,Canada,Computer monitors and computer printers [E12],115.3,NA
2011-07,Canada,Computer monitors [3611123],110.3,NA
2011-07,Canada,"Computer monitors, businesses and governments [36111231]",110.7,NA
2011-07,Canada,Computer printers [3611124],117.4,NA
2011-07,Canada,Inkjet printers [36111241],110.3,NA
2011-07,Canada,"Inkjet printers, businesses and governments [361112411]",110.4,NA
2011-07,Canada,Laser printers [36111242],122.5,NA
2011-07,Canada,"Laser printers, businesses and governments [361112421]",122.3,NA
2011-08,Canada,Computer monitors and computer printers [E12],112.2,NA
2011-08,Canada,Computer monitors [3611123],112,NA
2011-08,Canada,"Computer monitors, businesses and governments [36111231]",112.4,NA
2011-08,Canada,Computer printers [3611124],112.3,NA
2011-08,Canada,Inkjet printers [36111241],112.6,NA
2011-08,Canada,"Inkjet printers, businesses and governments [361112411]",112.7,NA
2011-08,Canada,Laser printers [36111242],111.1,NA
2011-08,Canada,"Laser printers, businesses and governments [361112421]",110.9,NA
2011-09,Canada,Computer monitors and computer printers [E12],110.6,NA
2011-09,Canada,Computer monitors [3611123],110.8,NA
2011-09,Canada,"Computer monitors, businesses and governments [36111231]",111.2,NA
2011-09,Canada,Computer printers [3611124],110.6,NA
2011-09,Canada,Inkjet printers [36111241],108.9,NA
2011-09,Canada,"Inkjet printers, businesses and governments [361112411]",109,NA
2011-09,Canada,Laser printers [36111242],111.1,NA
2011-09,Canada,"Laser printers, businesses and governments [361112421]",110.9,NA
2011-10,Canada,Computer monitors and computer printers [E12],112,NA
2011-10,Canada,Computer monitors [3611123],110.5,NA
2011-10,Canada,"Computer monitors, businesses and governments [36111231]",110.9,NA
2011-10,Canada,Computer printers [3611124],112.6,NA
2011-10,Canada,Inkjet printers [36111241],109.7,NA
2011-10,Canada,"Inkjet printers, businesses and governments [361112411]",109.8,NA
2011-10,Canada,Laser printers [36111242],114.2,NA
2011-10,Canada,"Laser printers, businesses and governments [361112421]",114,NA
2011-11,Canada,Computer monitors and computer printers [E12],110.6,NA
2011-11,Canada,Computer monitors [3611123],109.7,NA
2011-11,Canada,"Computer monitors, businesses and governments [36111231]",110.1,NA
2011-11,Canada,Computer printers [3611124],111,NA
2011-11,Canada,Inkjet printers [36111241],109.4,NA
2011-11,Canada,"Inkjet printers, businesses and governments [361112411]",109.4,NA
2011-11,Canada,Laser printers [36111242],111.5,NA
2011-11,Canada,"Laser printers, businesses and governments [361112421]",111.4,NA
2011-12,Canada,Computer monitors and computer printers [E12],110.4,NA
2011-12,Canada,Computer monitors [3611123],109.6,NA
2011-12,Canada,"Computer monitors, businesses and governments [36111231]",110,NA
2011-12,Canada,Computer printers [3611124],110.8,NA
2011-12,Canada,Inkjet printers [36111241],108.5,NA
2011-12,Canada,"Inkjet printers, businesses and governments [361112411]",108.6,NA
2011-12,Canada,Laser printers [36111242],111.9,NA
2011-12,Canada,"Laser printers, businesses and governments [361112421]",111.7,NA
2012-01,Canada,Computer monitors and computer printers [E12],110,NA
2012-01,Canada,Computer monitors [3611123],108.8,NA
2012-01,Canada,"Computer monitors, businesses and governments [36111231]",109.2,NA
2012-01,Canada,Computer printers [3611124],110.5,NA
2012-01,Canada,Inkjet printers [36111241],106.4,NA
2012-01,Canada,"Inkjet printers, businesses and governments [361112411]",106.5,NA
2012-01,Canada,Laser printers [36111242],113,NA
2012-01,Canada,"Laser printers, businesses and governments [361112421]",112.9,NA
2012-02,Canada,Computer monitors and computer printers [E12],107.9,NA
2012-02,Canada,Computer monitors [3611123],108.6,NA
2012-02,Canada,"Computer monitors, businesses and governments [36111231]",109,NA
2012-02,Canada,Computer printers [3611124],107.6,NA
2012-02,Canada,Inkjet printers [36111241],106,NA
2012-02,Canada,"Inkjet printers, businesses and governments [361112411]",106.1,NA
2012-02,Canada,Laser printers [36111242],108.1,NA
2012-02,Canada,"Laser printers, businesses and governments [361112421]",108,NA
2012-03,Canada,Computer monitors and computer printers [E12],107.1,NA
2012-03,Canada,Computer monitors [3611123],108.4,NA
2012-03,Canada,"Computer monitors, businesses and governments [36111231]",108.8,NA
2012-03,Canada,Computer printers [3611124],106.6,NA
2012-03,Canada,Inkjet printers [36111241],105.3,NA
2012-03,Canada,"Inkjet printers, businesses and governments [361112411]",105.4,NA
2012-03,Canada,Laser printers [36111242],106.8,NA
2012-03,Canada,"Laser printers, businesses and governments [361112421]",106.6,NA
2012-04,Canada,Computer monitors and computer printers [E12],106.6,NA
